主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B0BXFSGHMS,Color: 3-BTN,KEYLESSPROS,"KeylessPros 3-Button Keyless Entry Remote Key Fob Replacement, Compatible with Ford, Lincoln, Mercury, Mazda F150 F250 F350 Escape Expedition Explorer Ranger, CWTWB1U345",https://images-na.ssl-images-amazon.com/images/I/417Cu80RRlL._AC_US200_.jpg,B0BXFT7MJC,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"10,118",755,7%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","44
2271",554,"14,100%","3,850",141%,6.95,,37%,3.33,19,2.35%,4.30,13,2023-03-02,FBA,10,2,1,Smartlocks,US,"公司名称：United Hardware Supply LLC
电话号码：954-866-2300",FBA,,Y,Y,,,2009-2014 f150 accessories,0.317 ounces,3.11 x 1.89 x 0.59 inches,2023-07-04
,B07N33NB6N,,DEE ZEE,DEE ZEE DZ43206 Tailgate Assist Fits 19-Current Ford Ranger,https://images-na.ssl-images-amazon.com/images/I/414qAKac6zL._AC_US200_.jpg,B07N33NB6N,Automotive:Replacement Parts:Body & Trim:Body:Truck Beds & Tailgates,Automotive,"8,863","2,762",31%,Truck Beds & Tailgates,17,535,100%,"15,600",1%,29.16,24,66%,5.40,"1,561",5.05%,4.70,27,2019-01-23,AMZ,8,1,49,Amazon,US,"公司名称：UTM Distributing Co
办公地址：
125 W Crescentville Rd
CINCINNATI
OH
45246
US",AMZ,,Y,,Y,,ford ranger tailgate damper,1 pounds,5 x 13 x 2 inches,2023-07-04
,B07SKTTW77,Model: Black-1,RPKEY,Ford Lincoln Key Fob Cover: Mazda 3 Buttons Silicone Car Key Shell Fit for Explorer Edge Escape F150 Expedition Mercury Navigator Ranger Mariner| Rpkey Keyless Remote Case Replacement - Black,https://images-na.ssl-images-amazon.com/images/I/41ZF5sT0aoL._AC_US200_.jpg,B0C6FK6QJ9,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"12,564","-1,890",-15%,Antitheft Keyless Entry Systems,50,520,"7,000%","3,634",70%,6.99,5,39%,3.22,"2,710",0.00%,4.70,0,2019-05-31,FBA,9,8,1,Car Interior,CN,"公司名称：DEYING HUANG
办公地址：
广东省化州市中垌镇坡头莲塘村93号
化州市
广东省
广东省
525144
CN",FBA,,Y,,Y,,ford f150 key cover,0.317 ounces,3.27 x 2.28 x 0.55 inches,2023-07-04
,B09GFV2YRJ,,MechanMagic,Key Fob Replacement Fits for CWTWB1U793 Ford F-150 2004-2014 F-250 F-350 2004-2016 F-450 Flex 2009-2017 Explorer 2001-2015 Escape Ranger 2001-2011 Fusion Econoline Mercury Keyless Entry Remote Control,https://images-na.ssl-images-amazon.com/images/I/41aDncFpIoL._AC_US200_.jpg,B09GFV2YRJ,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"11,002","2,804",25%,Antitheft Keyless Entry Systems,83,519,-500%,"15,025",-5%,28.95,26,71%,3.97,633,6.55%,4.00,34,2021-09-15,FBA,8,1,1,AUTEK TOOLS,CN,公司名称：shen zhen shi mai kai mai ji ke ji you xian gongsi,FBA,,Y,,,,2013 ford explorer key fob,1.76 ounces,4.84 x 4.13 x 0.79 inches,2023-07-04
,B09KBZKHDX,Size: Door Lock Cylinder & Keys,Yinlowa,Door Lock Cylinder with Keys Replacement for 1995-2006 Ford Ranger Explorer F250 F350 E150 E250 E350 E450 E550 Econoline Bronco Mazda Mercury Truck Left Right Side Door Lock Cylinder Set DL140T,https://images-na.ssl-images-amazon.com/images/I/51sFH2DF2aL._AC_US200_.jpg,B0BMQ1WWW8,Automotive:Replacement Parts:Motors:Power Door Lock,Automotive,"11,901","-1,215",-10%,Automotive Replacement Power Door Lock Motors,5,453,0%,"7,243",0%,15.99,7,59%,4.08,"1,077",6.40%,4.60,29,2021-10-29,FBA,10,3,1,Yinlowa,CN,"公司名称：SHENZHENSHI LVNONGKEJI YOUXIANGONGSI
办公地址：
云城街威利商务中心730
广州市
白云区
广东省
510000
CN",FBA,Y,Y,,Y,,door lock cylinder ford,6.4 ounces,3.58 x 2.72 x 2.72 inches,2023-07-04
,B07SVYNWRK,Number of Items: 2,Gledewen,"Oxygen Sensor Upstream Downstream O2 Sensor 2Pcs | Compatible with Ford F150 F250 Ranger Expedition Explorer Escape, Mazda Tribute, Lincoln &amp; More | Replace# 15717, 15716, 15664, ZZC318861",https://images-na.ssl-images-amazon.com/images/I/41lkxUTxNcL._AC_US200_.jpg,B0C5JVTKKG,Automotive:Replacement Parts:Sensors:Oxygen,Automotive,"16,200","-6,749",-42%,Automotive Replacement Oxygen Sensors,17,448,"-1,400%","13,435",-14%,29.99,57,71%,4.08,"1,269",38.39%,4.30,172,2019-07-10,FBA,9,3,1,GledewenDirect,CN,公司名称：ruianshihongyidianzishangwushanghang,FBA,,Y,,,,Automotive Replacement Oxygen Sensors by Gledewen,0.11 pounds,6.77 x 3.39 x 2.13 inches,2023-07-04
,B09WKG7BFG,Pattern Name: Black Left & Right,Gledewen,"Exterior Door Handle Set, All Metal, Front Outside Left Driver &amp; Right Passenger Side, Compatible with 1998-2011 Ford Ranger, 01-10 Mazda B2300 B3000 B4000 | Replaces# 2L5Z1022404BAA Outer Handle",https://images-na.ssl-images-amazon.com/images/I/31+Tpj5zJNL._AC_US200_.jpg,B0BV6N5DK2,Automotive:Replacement Parts:Body & Trim:Trim:Exterior Door Handles,Automotive,"15,694","-3,768",-24%,Automotive Exterior Door Handles,48,440,"1,400%","11,431",14%,25.98,,64%,5.40,130,4.77%,4.40,21,2022-03-25,FBA,9,2,1,GledewenDirect,CN,公司名称：ruianshihongyidianzishangwushanghang,FBA,,Y,,,,Automotive Exterior Door Handles by Gledewen,1.32 pounds,7.56 x 3.74 x 3.11 inches,2023-07-04
,B09J1523LT,,MechanMagic,Flip Key Fob Replacement Compatible for Ford F-150 F-250 F-350 2015 2016 2017 2018 2019 2020 Explorer (2016-2020) F-350 F-450 Ranger Ecosport Bronco Ignition Key Keyless Entry Remote N5F-A08TAA,https://images-na.ssl-images-amazon.com/images/I/31bDJB1WMmL._AC_US200_.jpg,B09J1523LT,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"14,582","-2,626",-18%,Antitheft Keyless Entry Systems,77,430,"1,500%","12,878",15%,29.95,13,72%,3.97,287,4.65%,4.40,20,2021-10-07,FBA,8,1,1,AUTEK TOOLS,CN,公司名称：shen zhen shi mai kai mai ji ke ji you xian gongsi,FBA,,Y,,,,2016 ford explorer key fob,2.08 ounces,4.26 x 4.22 x 0.95 inches,2023-07-03
,B08VN4TQW8,Color: Pink,MECHCOS,Compatible with Ford Edge Escape Expedition Explorer Fusion Mustang Ranger F-150 F-250 Smart 3 4 5 Buttons Pink TPU Key Fob Cover Case Remote Holder Skin Protector Keyless Entry Sleeve Accessories,https://images-na.ssl-images-amazon.com/images/I/41xwV2A63cL._AC_US200_.jpg,B08XJSR6W8,Automotive:Interior Accessories:Keychains,Automotive,"12,313","-3,686",-30%,Keychains,89,418,"5,200%","4,999",52%,11.96,3,58%,3.22,"1,024",5.98%,4.70,25,2021-02-01,FBA,8,4,1,Mechcos,CN,"公司名称：Shenzhenshi Yuyuan Keji Youxiangongsi
办公地址：
民治街道民治大道567号优城(宜水商业广场）A栋1502号
深圳市
龙华新区
广东省
518000
CN",FBA,,Y,,,,Keychains by MECHCOS,0.317 ounces,4.25 x 3.19 x 0.75 inches,2023-07-04
,B07NF9RRQW,,VIPMOTOZ,VIPMOTOZ Red OLED Neon Tube Pure White LED License Plate Light Tag Lamp Assembly Replacement For Ford F150 F250 F350 Super Duty Ranger Pickup Truck Explorer Bronco Excursion Expedition,https://images-na.ssl-images-amazon.com/images/I/41svlstW4UL._AC_US200_.jpg,B07NF9RRQW,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"13,317","9,060",68%,Automotive License Plate Light Assemblies,37,413,"-4,100%","7,016",-41%,16.99,19,62%,3.86,"4,838",14.53%,4.70,60,2019-02-05,FBA,9,1,1,VIPMOTOZ,US,"公司名称：VIP Lightz Inc.
电话号码：1-844-884-7847
办公地址：
18351 Colima Rd #91
Rowland Heights
CA
91748
US",FBA,,Y,,Y,,Automotive License Plate Light Assemblies by VIPMO,2.39 ounces,4.5 x 2.5 x 2 inches,2023-07-04
,B09DKDLBNC,Size: for ford,CarQiWireless,"Auto Car Steering Wheel Tray for Ford F150 F250 F350 Transit Ranger Bronco Explorer Fusion Mustang Truck Accessories 2004-2023,for Laptop, Tablet, iPad Or Notebook Car Travel Table",https://images-na.ssl-images-amazon.com/images/I/51qEEhyQnmL._AC_US200_.jpg,B0B5GZGC6W,Automotive:Interior Accessories:Consoles & Organizers:Trays & Bags,Automotive,"13,415",843,6%,Automotive Trays & Bags,79,394,-200%,"7,876",-2%,19.99,11,54%,6.10,372,6.09%,4.20,24,2021-08-24,FBA,9,2,1,CarQiWireless,CN(HK),"公司名称：Hongkong Kingwei Network Co., Limited",FBA,,,,Y,,,1.53 pounds,17.44 x 13.23 x 1.34 inches,2023-07-04
,B08VNN443C,Color: Black,MECHCOS,Compatible with Ford Edge Escape Expedition Explorer Fusion Mustang Ranger F-150 F-250 Smart 3 4 5 Buttons Black TPU Key Fob Cover Case Remote Holder Skin Protector Keyless Entry Sleeve Accessories,https://images-na.ssl-images-amazon.com/images/I/41+AIwNgotL._AC_US200_.jpg,B08XJSR6W8,Automotive:Interior Accessories:Keychains,Automotive,"11,391","1,444",13%,Keychains,85,381,"-1,900%","4,556",-19%,11.96,3,53%,3.86,"1,016",5.77%,4.70,22,2021-02-01,FBA,8,5,1,Mechcos,CN,"公司名称：Shenzhenshi Yuyuan Keji Youxiangongsi
办公地址：
民治街道民治大道567号优城(宜水商业广场）A栋1502号
深圳市
龙华新区
广东省
518000
CN",FBA,,Y,,,,Keychains by MECHCOS,0.317 ounces,3.82 x 3.15 x 0.87 inches,2023-06-28
,B01N8PQ86U,,A ABIGAIL,"Oxygen Sensor O2 Sensor Front Rear Upstream Downstream for Ford, Lincoln, Mercury &amp; Mazda - Ranger, Mustang, Expedition, Explorer, Escape, F150, Tribute Compatible with Bosch 15716 15717 15718 15719",https://images-na.ssl-images-amazon.com/images/I/410KUNVCM9L._AC_US200_.jpg,B01N8PQ86U,Automotive:Replacement Parts:Sensors:Oxygen,Automotive,"14,189","9,598",68%,Automotive Replacement Oxygen Sensors,12,363,"-2,400%","6,530",-24%,17.99,126,62%,4.08,"1,036",5.23%,4.50,19,2016-11-09,FBA,10,1,1,Auto Parts Outlets,US,公司名称：XCAR AUTOMOTIVE INC.,FBA,,Y,,Y,,Automotive Replacement Oxygen Sensors by A ABIGAIL,0.44 pounds,7.9 x 0.8 x 1.2 inches,2023-07-04
,B09PTKZDQ3,Color: Black,PIMCAR,PIMCAR Compatible with 2019 2020 2021 2022 2023 Ford Ranger Center Console Organizer ABS Plastic Material Armrest Box Insert Tray Accessories (Not for 2023 Ranger XL/Raptor/Wildtrak)-Black Trim,https://images-na.ssl-images-amazon.com/images/I/51Hku+YAuVL._AC_US200_.jpg,B09WMDJFGC,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"12,428","1,227",10%,Automotive Center Consoles,129,360,"-1,100%","6,080",-11%,16.89,5,53%,5.40,480,9.17%,4.90,33,2022-01-05,FBA,10,3,1,PIMCAR,CN,"公司名称：guangzhouhuangannamaoyiyouxiangongsi
办公地址：
鹤龙街鹤边通达创意园西区二横路1号7号楼5楼506
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Automotive Center Consoles by PIMCAR,8.4 ounces,7 x 7 x 2.7 inches,2023-07-04
,B098YKNKC2,Color: Ford 3btn x2,USAKEYLESS,Car Keyless Entry Remote Key Fob Replacement for Ford 1998-2016 F150 F250 F350 Escape Expedition Explorer Ranger /Mazda /Lincoln CWTWB1U331 CWTWB1U345 3Button Pack of 2,https://images-na.ssl-images-amazon.com/images/I/41RHSJUkBCL._AC_US200_.jpg,B09DXF7WM1,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"15,954","1,469",9%,Antitheft Keyless Entry Systems,76,348,"4,400%","4,172",44%,11.99,,57%,3.33,332,6.61%,4.30,23,2021-04-09,FBA,8,2,1,USAKEYLESS,CN,"公司名称：ShenzhenshiMeisheng toy Inc
办公地址：
LonggangquLonggangjiedaoNanlianShequAinanlu366hao1018
shenzhenshi
guangdongsheng
518172
CN",FBA,,Y,,,,f150 remote start,1.44 ounces,4.84 x 2.91 x 0.63 inches,2023-07-04
,B00OL0F3LQ,,T1A TruBuilt 1 Automotive,T1A Black Exterior Tailgate Handle Replacement for 1998-2011 Ford Ranger Pickup Truck 1L5Z9943400AAA,https://images-na.ssl-images-amazon.com/images/I/41Wv8JeUlYL._AC_US200_.jpg,B00OL0F3LQ,Automotive:Replacement Parts:Body & Trim:Trim:Exterior Door Handles,Automotive,"23,429","-4,257",-18%,"Automotive Exterior Door Handles
Automotive Body Parts","62
815",343,"41,700%","4,033",417%,11.76,3,49%,4.24,922,2.92%,4.60,10,2014-10-15,FBA,8,1,1,Global Automotive Distribution,US,"公司名称：Global Automotive Distribution LLC
办公地址：
3079 S BALDWIN RD PMB 5033
LAKE ORION
MI
48359
US",FBA,,Y,,,,Automotive Exterior Door Handles by T1A TruBuilt 1,0.3 pounds,7.2 x 3.9 x 6.3 inches,2023-07-04
,B08JV75931,,FAERSI,"FAERSI Exterior Tailgate Door Handle Textured Black Lift Gate Rear Latch Handle Replacements for Ford Ranger 1998-2011, 01-07 Mazda B2300, 98-01 Mazda B2500, 98-07 Mazda B3000 B4000, 90695 FO1915109",https://images-na.ssl-images-amazon.com/images/I/41tUjmP+OdL._AC_US200_.jpg,B08JV75931,Automotive:Replacement Parts:Body & Trim:Trim:Exterior Door Handles,Automotive,"19,041","-5,632",-30%,Automotive Exterior Door Handles,77,342,"-3,000%","3,997",-30%,11.69,,49%,4.24,496,5.85%,4.40,20,2020-09-22,FBA,10,1,1,FAERSI Autoparts,CN,公司名称：shenzhenshinifeidianziyouxiangongsi,FBA,,Y,,Y,,Automotive Exterior Door Handles by FAERSI,6.4 ounces,7.44 x 3.27 x 3.07 inches,2023-07-04
,B07F422Y98,Color: Lock Unlock Lock,Start-X,"Start-X Remote Start Kit For Ford F-150 2015-2020, F-250/F-350 17-21, Ranger 19-23, Transit Connect 19-22, Transit 20-23, Bronco Sport 21-23, Edge 15-20, Escape 20-22, Expedition 18-21, Explorer 16-23",https://images-na.ssl-images-amazon.com/images/I/51W5UP4IcrL._AC_US200_.jpg,B09KJQ3HSM,Automotive:Interior Accessories:Anti-Theft:Remote Starters,Automotive,"21,966","-7,980",-36%,Antitheft Remote Starters,17,338,"1,400%","33,796",14%,99.99,510,81%,4.24,"4,404",13.91%,4.70,47,2018-06-27,FBA,9,2,1,Remote Starter,US,"公司名称：BA Technologies LLC
办公地址：
144 Cross St b2
Lakewood
NJ
08701
US",FBA,,Y,,Y,,Antitheft Remote Starters by Start-X,9.6 ounces,8.19 x 4.17 x 2.32 inches,2023-07-04
,B079DXB83H,,T1A TruBuilt 1 Automotive,"T1A Exterior Rear Tailgate Handle Replacement for 1998-2011 Ford Ranger, Rear Smooth Black OEM Style Finish, Metal Upgraded, T1A XL5Z-9943400-Metal 1L5Z9943400AAA",https://images-na.ssl-images-amazon.com/images/I/41Ndi-dsCyL._AC_US200_.jpg,B079DXB83H,Automotive:Replacement Parts:Body & Trim:Trim:Exterior Door Handles,Automotive,"15,462","-3,194",-21%,"Automotive Exterior Door Handles
Automotive Body Parts","53
668",331,"24,500%","8,927",245%,26.97,3,67%,4.75,395,2.42%,4.80,8,2018-03-02,FBA,8,1,1,Global Automotive Distribution,US,"公司名称：Global Automotive Distribution LLC
办公地址：
3079 S BALDWIN RD PMB 5033
LAKE ORION
MI
48359
US",FBA,,Y,,,,Automotive Exterior Door Handles by T1A TruBuilt 1,15.7 ounces,2.8 x 1.6 x 1.6 inches,2023-07-04
,B09SDGBV3H,Color: 50pcs,Rexka,Rexka 50pcs Door Trim Panel Retainers Clips Fastener for OBS Ford N801925-S N802900-S Lincoln Mercury Bronco F150 Mustang F-250 F-350 Explorer Ranger Trucks Pickups Suvs,https://images-na.ssl-images-amazon.com/images/I/51rCGCq25mL._AC_US200_.jpg,B09V2Z7MSJ,Automotive:Replacement Parts:Body & Trim:Body:Clips,Automotive,"23,344","-9,392",-40%,Automotive Clips,103,326,"2,300%","3,256",23%,9.99,,46%,3.86,121,1.23%,4.70,4,2018-05-19,FBA,8,5,1,REXKA,CN,"公司名称：HQ Automotive Co., Limited",FBA,,Y,,,,Automotive Clips by Rexka,1.59 Ounces,5.9 x 4.8 x 1 inches,2023-07-03
,B0B63BF8XZ,Color: Size B-Ivory,Cacacar,"Cacacar for Ford Key Fob Cover, for Explorer Bronco Escape Edge Expedition Mustang F150 Fusion Ranger Lincoln Premium Soft TPU Full Protection Key Case Remote Key Holder (Size B-Ivory)",https://images-na.ssl-images-amazon.com/images/I/5166Jx6fclL._AC_US200_.jpg,B0BTVKSHS7,Automotive:Interior Accessories:Key Shells,Automotive,"14,189",-955,-7%,Key Shells,122,325,700%,"4,114",7%,12.66,,60%,3.22,105,4.31%,4.50,14,2022-07-07,FBA,10,5,1,SISICO,CN,"公司名称：Putian Si Si Chong Trading Co.,LTD",FBA,,,,Y,,,0.04 pounds,2.4 x 0.6 x 1.6 inches,2023-07-04
