统计时间,搜索曝光次数,搜索点击次数,搜索点击率,店铺访问人数,MC询盘人数,询盘个数,ATM咨询人数,近30日挂帐订单买家数,商机转化率(数据管家),商机转化率(星等级),近30日挂帐订单数,近30日实收信保金额,总商品数,有访问的商品数,有询盘的商品数,有订单的商品数,实力优品数,RTS商品数,当前15天（以上）零效果商品数,P4P曝光次数,P4P点击次数,P4P点击率,P4P消耗金额_分,P4P平均点击花费_分,P4P在线时长_分钟,及时回复率,平均回复时间_小时,最近一天RFQ报价数,最近30天报价被二次行动率,最近tips视频发布数,最近tips视频曝光数,最近tips视频有效播放数,最近tips视频引流商机数量
2023-03-14,4328,52,1.2%,84,4,4.0,18,20,9.52%,4.61%,53,175488.94,869,114,3,0,77,13,290,0,0,0%,0,0,0.0,97.54%,4.05,0,27.27%,0,33,2,0
2023-03-15,4309,53,1.23%,88,2,2.0,18,22,4.55%,4.62%,55,175336.44,869,60,2,6,76,13,302,0,0,0%,0,0,0.0,97.58%,3.99,5,34.62%,0,18,1,0
2023-03-16,4469,68,1.52%,94,2,2.0,17,22,8.51%,4.54%,64,174520.44,870,136,2,2,77,14,291,0,0,0%,0,0,0.0,97.6%,4.01,0,34.62%,0,33,1,0
2023-03-17,4176,68,1.63%,89,2,2.0,14,23,6.74%,4.62%,67,178541.54,870,82,1,1,78,14,291,0,0,0%,0,0,0.0,97.59%,4.19,0,33.33%,0,32,0,0
2023-03-18,4389,65,1.48%,79,0,0.0,9,23,2.53%,4.43%,65,145532.53999999998,870,80,0,0,78,14,293,0,0,0%,0,0,0.0,97.38%,4.23,0,33.33%,0,20,1,0
2023-03-19,5086,72,1.42%,82,1,1.0,14,23,3.66%,4.42%,65,140230.28999999998,870,81,1,2,78,15,299,0,0,0%,0,0,0.0,97.1%,4.39,0,30%,0,23,1,0
2023-03-20,4642,63,1.36%,86,0,0.0,20,23,2.33%,4.41%,67,143567.69,872,78,0,0,78,16,296,0,0,0%,0,0,0.0,97.56%,4.25,0,31.58%,0,41,6,0
2023-03-21,4895,70,1.43%,97,2,3.0,21,24,4.12%,4.29%,68,144556.69,873,110,3,0,79,18,295,0,0,0%,0,0,0.0,97.58%,4.18,0,35.29%,0,48,2,0
2023-03-22,4529,54,1.19%,84,1,1.0,16,25,2.38%,4.16%,64,136010.69,876,83,1,0,80,20,300,0,0,0%,0,0,0.0,97.6%,4.25,1,31.25%,0,32,2,0
2023-03-23,4204,73,1.74%,97,2,2.0,14,25,7.22%,4.23%,74,138449.19,880,93,2,5,81,24,315,0,0,0%,0,0,0.0,97.1%,4.35,0,31.25%,0,34,3,0
2023-03-24,3977,48,1.21%,71,3,3.0,16,25,8.45%,4.28%,74,139143.79,880,60,3,0,79,24,322,0,0,0%,0,0,0.0,97.3%,4.33,0,31.25%,0,69,8,0
2023-03-25,4157,61,1.47%,84,2,2.0,11,25,4.76%,4.37%,75,139743.79,879,88,2,1,80,24,325,0,0,0%,0,0,0.0,97.32%,4.39,0,31.25%,0,14,1,0
2023-03-26,5030,96,1.91%,107,0,0.0,18,25,7.48%,4.33%,76,140429.29,887,113,0,0,81,33,312,0,0,0%,0,0,0.0,97.53%,4.48,1,35.29%,0,28,3,0
2023-03-27,4650,58,1.25%,82,2,2.0,23,26,4.88%,4.29%,77,148971.54000000004,890,70,2,0,81,35,313,0,0,0%,0,0,0.0,97.54%,4.48,2,36.84%,0,21,1,0
2023-03-28,4624,72,1.56%,93,2,2.0,28,26,3.23%,4.03%,76,148371.54,891,86,2,0,78,36,319,0,0,0%,0,0,0.0,97.59%,4.41,0,36.84%,0,21,0,0
2023-03-29,4868,75,1.54%,104,1,1.0,21,26,5.77%,4.15%,73,147608.54,891,82,1,0,79,36,339,0,0,0%,0,0,0.0,96.92%,4.65,1,35%,0,16,1,0
2023-03-30,4750,80,1.68%,93,3,3.0,21,25,5.38%,4.16%,71,61349.53,891,110,3,0,79,36,319,0,0,0%,0,0,0.0,96.75%,4.82,1,33.33%,0,29,4,0
2023-03-31,4591,62,1.35%,84,0,0.0,11,26,4.76%,4.26%,68,69388.03,891,67,0,3,79,36,346,0,0,0%,0,0,0.0,96.79%,4.85,0,31.58%,0,21,1,0
