主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B09TW75HTH,,RLP,Trailer Brake Control Switch Assembly Compatible with 2014-2020 Chevy Colorado Silverado Suburban GMC Canyon Sierra Yukon Replacement for 84108373 23145874,https://images-na.ssl-images-amazon.com/images/I/51zBqa0CCcL._AC_US200_.jpg,B09TW75HTH,Automotive:Exterior Accessories:Trailer Accessories:Brake Controls,Automotive,"6,624","7,547",114%,Trailer Brake Controls,6,430,"2,200%","8,944",22%,20.80,,66%,3.86,91,2.56%,4.70,11,2022-03-03,FBA,8,1,1,ROCKLIKE PROMISE,CN,公司名称：NINGBO ROCKLIKE PROMISE IMP & EXP CO LTD,FBA,,Y,Y,,,15926102,2.89 ounces,3.39 x 2.91 x 2.56 inches,2023-07-03
,B07JG1M275,Color: 1 x 4-btn w/ rs,USARemote,Key Fob Keyless Entry Remote Start fits Chevy Silverado Colorado/GMC Sierra Canyon 2014 2015 2016 2017 (M3N-32337100 Chrome),https://images-na.ssl-images-amazon.com/images/I/41noDWiH4hL._AC_US200_.jpg,B075ZYHPH5,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"25,254",-851,-5%,Antitheft Keyless Entry Systems,172,423,900%,"7,592",9%,17.95,72,66%,3.33,"2,042",6.86%,4.10,29,2017-09-27,FBM,7,5,5,USAREMOTE,US,"公司名称：Wholesale-24-7 LLC
办公地址：
1 Industrial Way West
Building E Suite F
Eatontown
NJ
07724
US",FBM,,Y,,,,silverado key fob,0.06 pounds,1.3 x 0.5 x 2 inches,2023-07-04
,B082YTZS6Q,Size: 4PC,Carforu,"Tie Down Anchors 4Pcs Truck Bed Side Wall Anchor fit for 07-22 Chevy Silverado/GMC Sierra,15-22 Chevy Colorado/GMC Canyon DZ97903",https://images-na.ssl-images-amazon.com/images/I/41IqdbxI10L._AC_US200_.jpg,B0B8HH1LZK,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tie Downs & Anchors,Automotive,"16,962","-6,604",-39%,Truck Tie Downs & Anchors,45,419,"3,400%","7,789",34%,18.59,29,59%,4.75,"1,253",5.49%,4.60,23,2019-12-19,FBA,9,4,1,AORRO,CN,"公司名称：Ningbo lechuangdianzishangwuyouxiangongsi
办公地址：
同济路199号3层3-2-21
宁波市
江北区
浙江省
315000
CN",FBA,,Y,,Y,,truck bed tie down anchors chevy silverado,12.3 ounces,6.18 x 3.66 x 2.05 inches,2023-07-04
,B0BV6PT5JG,,Aokdom,"Windshield Wiper Washer Fluid Reservoir Tank Bottle Cap Replacement Parts-OEM #13227300,12767700,12788573-Compatible for Chevrolet Buick GMC Cadillac Canyon - No-Brainer Install",https://images-na.ssl-images-amazon.com/images/I/51LPYSx6B+L._AC_US200_.jpg,B0BV6PT5JG,Automotive:Replacement Parts:Body & Trim:Body:Reservoirs,Automotive,"12,586",-580,-5%,Automotive Reservoirs,7,412,"2,700%","2,467",27%,5.99,,31%,3.22,35,4.13%,4.50,17,2023-02-07,FBA,8,1,1,Aokdom,CN,"公司名称：Hefei Maoning Network Technology Co., LTD",FBA,,Y,Y,,,Automotive Reservoirs by Aokdom,0.02 pounds,2.5 x 2 x 0.5 inches,2023-07-04
,B0BVFZVFBG,,JDMCAR,JDMCAR Center Console Cover Compatible with 2015-2022 Chevy Colorado/GMC Canyon Accessories Customized Neoprene Armrest Box Lid Protector Cover,https://images-na.ssl-images-amazon.com/images/I/41P0p4a0cAL._AC_US200_.jpg,B0BVFZVFBG,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"18,659","-6,241",-33%,Automotive Center Consoles,178,375,"-1,100%","7,496",-11%,19.99,,53%,6.39,48,4.00%,4.80,15,2023-02-09,NA,10,1,1,JDMCAR,CN,公司名称：Guangzhouzhigongmaoyiyouxiangongsi,NA,,Y,,Y,,Automotive Center Consoles by JDMCAR,0.01 pounds,14.61 x 9.69 x 2.76 inches,2023-07-04
,B08ZKWJVZH,,VENJSEN,1Pack Leather Keychain Compatible with GMC Sierra Denali Canyon Terrain Yukon Jimmy Acadia Family Present for Man and Woman(Black)…,https://images-na.ssl-images-amazon.com/images/I/418GGmnCmeL._AC_US200_.jpg,B08ZKWJVZH,Automotive:Interior Accessories:Keychains,Automotive,"13,554","-1,855",-14%,Keychains,164,362,400%,"4,336",4%,11.98,,58%,3.22,675,7.73%,4.60,28,2021-03-19,FBA,9,1,1,qinmeihuaaa,CN,"公司名称：sichuanzhonghuanglijiandianzishangwuyouxiangongsi
办公地址：
同和路329号华凌小区166号楼15单元1569
白云区
广州市
广东省
501515
CN",FBA,,Y,,Y,,Keychains by VENJSEN,1.44 ounces,6.06 x 3.46 x 0.47 inches,2023-07-04
,B09DGGG451,Size: For Colorado 15-22,Voron Glass,"Voron Glass in-Channel Extra Durable Rain Guards for Trucks Chevrolet (Chevy) Colorado/GMC Canyon 2015-2022 Crew Cab, Window Deflectors, Vent Window Visors, 4 Pieces - 220184",https://images-na.ssl-images-amazon.com/images/I/51Dn6YCnHdL._AC_US200_.jpg,B0C66B24F2,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"15,439","3,230",21%,Side Window Wind Deflectors & Visors,44,347,"2,100%","20,816",21%,59.99,10,65%,12.25,291,8.36%,4.40,29,2021-08-23,FBA,8,6,3,Spark Lines Inc,US,"公司名称：Spark Lines Inc
办公地址：
1 S Corporate Drive, Suite C
RIVERDALE
NJ
07457
US",FBA,,Y,,,,channel vent visor,1.36 pounds,41.3 x 11.3 x 1.4 inches,2023-07-04
,B07SWYB2M1,"Size: 5'2"" | Style: Roll-Up",YITAMOTOR,"YITAMOTOR Soft Roll Up Truck Bed Tonneau Cover Compatible with 2015-2022 Chevy Colorado/GMC Canyon, Fleetside 5.2 ft Bed",https://images-na.ssl-images-amazon.com/images/I/51ff4IqZ2RL._AC_US200_.jpg,B0BHWWZPXT,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"24,915","-9,863",-40%,Truck Tonneau Covers,82,338,"5,600%","61,610",56%,182.28,52,68%,30.39,654,5.03%,4.50,17,2019-06-08,AMZ,10,4,2,Amazon,US,"公司名称：YITA LLC
电话号码：1-888-717-8084
办公地址：
4120 164th ave se
BELLEVUE
WA
98006
US",AMZ,,Y,,Y,,Truck Tonneau Covers by YITAMOTOR,17.61 pounds,67 x 10.3 x 5.4 inches,2023-07-04
,B00M07GQO0,,ENA,ENA Set of 6 Ignition Coil Pack Compatible with Chevrolet GMC Olds Saab Isuzu Trailblazer Envoy Rainer Colorado Canyon Replacement For UF303 C1395 UF-303,https://images-na.ssl-images-amazon.com/images/I/41qbJTpE1PL._AC_US200_.jpg,B00M07GQO0,Automotive:Replacement Parts:Ignition Parts:Coil Packs,Automotive,"11,879","-1,657",-12%,Automotive Replacement Ignition Coil Packs,7,325,-500%,"22,421",-5%,68.99,63,73%,8.45,"3,652",7.08%,4.60,23,2014-07-20,FBA,9,1,2,U.S. Based seller,US,"公司名称：Aceon-Bright, Inc.
电话号码：1-626-965-0590",FBA,Y,Y,,Y,,Automotive Replacement Ignition Coil Packs by ENA,0.01 ounces,9.5 x 3.5 x 6.5 inches,2023-07-04
,B00KTJ8D38,Color: black,KeylessOption,KeylessOption Keyless Entry Remote Car Key Fob for Chevy Colorado GMC Canyon Hummer H3 L2C0007T (Pack of 2),https://images-na.ssl-images-amazon.com/images/I/51J7fRc+ISL._AC_US200_.jpg,B07CCZT9L7,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"13,666","9,935",73%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","100
4657",321,"-2,300%","4,798",-23%,14.95,15,58%,3.97,"1,034",9.03%,3.90,29,2014-06-05,FBM,7,2,2,KeylessOption,US,"公司名称：1320 International LLC
办公地址：
66 main st
#2457
EATONTOWN
NJ
07724
US",FBM,,,,,,,1.76 ounces,2 x 0.7 x 4 inches,2023-07-04
,B0B6HY2S9C,,CULMKARI,84108373 Trailer Brake Control Switch Fits for 2014-2021 Chevy Colorado Silverado Suburban GMC Canyon Sierra Yukon Replace Part Number 23145874 601226,https://images-na.ssl-images-amazon.com/images/I/41NG+3aohEL._AC_US200_.jpg,B0B6HY2S9C,Automotive:Exterior Accessories:Trailer Accessories:Brake Controls,Automotive,"12,581",495,4%,Trailer Brake Controls,10,319,"2,400%","7,971",24%,24.99,,70%,3.86,20,0.63%,4.30,2,2022-07-13,FBA,9,1,1,Icezest,CN,公司名称：Weifang Yuebeishangmaoyouxiangongsi,FBA,,Y,Y,Y,,trailer brake controller chevy silverado,2.89 Ounces,3.1 x 2.8 x 2.4 inches,2023-07-04
,B0B9RCD6V6,,RICHWEI,"Gas Cap,Fuel Cap For Chevrolet Chevy Colorado,Malibu,Impala,Cobalt,Equinox,Trailblazer,Aveo,Corvette,Aveo &amp; GMC Canyon,Envoy,Savana &amp; Pontiac G6 &amp;Buick Lucerne LaCrosse &amp; Cadillac DTS,CTS,95995094",https://images-na.ssl-images-amazon.com/images/I/414xW6YCj7L._AC_US200_.jpg,B0B9RCD6V6,Automotive:Replacement Parts:Caps:Fuel Tank Caps,Automotive,"13,614","2,424",18%,Automotive Replacement Fuel Tank Caps,52,314,"-1,500%","4,392",-15%,13.99,,56%,4.08,65,5.10%,4.30,16,2022-08-15,FBA,9,1,1,RICHWEI,CN,"公司名称：wen zhou rui chi dian zi shang wu you xian gong si
办公地址：
状元街道状元桥行政村前梅北路90号
温州市
龙湾区
浙江省
325000
CN",FBA,,Y,Y,,,Automotive Replacement Fuel Tank Caps by RICHWEI,2.89 ounces,4 x 2.9 x 5 inches,2023-07-04
,B00QEC0ANA,Style: In-Channel - Smoke,Auto Ventshade,"Auto Ventshade [AVS] In-Channel Ventvisor | 2015 - 2022 Chevrolet/GMC Colorado/Canyon Crew Cab - Smoke, 4 pc. | 194995",https://images-na.ssl-images-amazon.com/images/I/41UsSEyVPfL._AC_US200_.jpg,B0C3WNM96X,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"28,389","5,809",20%,Side Window Wind Deflectors & Visors,82,308,"-1,900%","20,016",-19%,64.99,109,66%,12.67,"3,548",12.66%,4.30,39,2014-11-29,AMZ,9,5,7,Amazon,US,"公司名称：S&K Wholesales LLC
电话号码：816-652-7555
办公地址：
700 ne 76th street unit A
gladstone
MO
64118
US",AMZ,,Y,,Y,,chevy colorado bug deflector,2.14 pounds,46.9 x 11.9 x 1.9 inches,2023-07-04
,B09Q5P4BL9,,Gledewen,"Tailgate Door Handle, Exterior Rear w/ Keyhole, Compatible with 2004-2012 Chevy Colorado &amp; GMC Canyon &amp; Isuzu i-280 / i-290 / i-350 / i-370 Replace# 80584, GM1915118 Tail gate Liftgate Latch Lock",https://images-na.ssl-images-amazon.com/images/I/31yWpw-V0EL._AC_US200_.jpg,B09Q5P4BL9,Automotive:Replacement Parts:Body & Trim:Trim:Exterior Door Handles,Automotive,"17,471","2,261",13%,"Automotive Exterior Door Handles
Automotive Body Parts","49
589",307,"7,800%","4,598",78%,14.98,,53%,4.75,191,6.19%,4.70,19,2022-01-10,FBA,8,1,1,GledewenDirect,CN,公司名称：ruianshihongyidianzishangwushanghang,FBA,,Y,,,,Automotive Exterior Door Handles by Gledewen,13.1 ounces,9.02 x 4.57 x 2.76 inches,2023-07-02
,B0819XRZ73,,YITAMOTOR,"YITAMOTOR Floor Mats Compatible with 2015-2021 Chevy Colorado Crew Cab/GMC Canyon Crew Cab, Custom Fit Floor Liners, 1st &amp; 2nd Row All Weather Protection, Black",https://images-na.ssl-images-amazon.com/images/I/51KYkA65xsL._AC_US200_.jpg,B0819XRZ73,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Floor Mats,Automotive,"16,824","11,840",70%,Automotive Floor Mats,115,295,300%,"29,497",3%,99.99,17,64%,20.65,787,7.12%,4.70,21,2019-11-10,AMZ,10,1,2,Amazon,,,AMZ,,Y,,Y,,Automotive Floor Mats by YITAMOTOR,6.5 pounds,27.2 x 21.7 x 5.9 inches,2023-07-04
,B09539X4D7,Size: For Colorado 15-22,Goodyear,"Goodyear Shatterproof in-Channel Window Deflectors for Trucks Chevrolet (Chevy) Colorado/GMC Canyon 2015-2022 Crew Cab, Rain Guards, Window Visors, Vent Deflector,Truck Accessories,4pcs.-GY003429LP",https://images-na.ssl-images-amazon.com/images/I/51dGyQvytnL._AC_US200_.jpg,B0C69R9GQ7,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"15,964","-3,112",-19%,Side Window Wind Deflectors & Visors,51,283,"2,800%","24,335",28%,85.99,3,70%,12.67,252,6.01%,4.50,17,2021-05-16,FBA,9,6,2,Spark Lines Inc,US,"公司名称：Spark Lines Inc
办公地址：
1 S Corporate Drive, Suite C
RIVERDALE
NJ
07457
US",FBA,,Y,,Y,,goodyear window deflectors,4.24 pounds,41.9 x 12.1 x 1.8 inches,2023-07-04
,B0B5GZMR8V,Color: Red,Tukellen,Tukellen for Chevrolet Key Fob Cover Soft TPU Full Protection Key Shell Key Case Compatible with Chevrolet Chevy Silverado Suburban Tahoe Colorado GMC Sierra Yukon Canyon 4 Buttons (Red),https://images-na.ssl-images-amazon.com/images/I/41MSzznTBnL._AC_US200_.jpg,B0B5GZ2LSB,Automotive:Interior Accessories:Key Shells,Automotive,"38,108","-10,501",-28%,Key Shells,449,278,"-1,100%","3,889",-11%,13.99,,62%,3.22,88,2.88%,4.70,8,2022-06-29,NA,8,5,1,Tukellen,CN,"公司名称：Shenzhen Yinjiang Industrial Co., Ltd.
办公地址：
龙岗区坂田街道大发埔社区里浦街7号
TOP科技中心2栋701、70501
深圳市
广东省
518129
CN",NA,,,,,,,0.634 ounces,2.6 x 1.6 x 0.6 inches,2023-07-02
,B08L92YR3K,Color: Red,JDMCAR,"JDMCAR Custom Liner Accessories Compatible with Chevy Colorado/GMC Canyon 2015-2021 2022, Cup Holder, Door Pocket, and Center Console Insert Mat Kit 26-PC Set (Crew Cab, Red Trim)",https://images-na.ssl-images-amazon.com/images/I/51ksJcmJ7oL._AC_US200_.jpg,B08SJP8XRC,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"28,044","-7,204",-26%,Automotive Center Consoles,253,277,-500%,"5,537",-5%,19.99,11,64%,4.24,"1,061",3.61%,4.30,10,2020-10-15,FBA,10,4,1,JDMCAR,CN,公司名称：Guangzhouzhigongmaoyiyouxiangongsi,FBA,,Y,,Y,,Automotive Center Consoles by JDMCAR,12 ounces,15 x 7 x 0.5 inches,2023-07-03
,B08DXSQXTC,Size: 2014-2022,MbuyDIY,"MbuyDIY LED License Plate Light Lamp Assembly Compatible with 2014-2022 Chevy Silverado GMC Sierra 15-22 Colorado Canyon Pickup Truck 6000K White, Pack of 2",https://images-na.ssl-images-amazon.com/images/I/41i45t4hfiL._AC_US200_.jpg,B097YCVDHP,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"22,134",-469,-2%,Automotive License Plate Light Assemblies,68,276,800%,"4,410",8%,15.98,,61%,3.86,445,5.43%,4.60,15,2020-07-10,FBA,8,2,1,MbuyDIY,CN,"公司名称：ShenZhenShi HuiXinChuang Technology Co., LTD
办公地址：
民治街道樟坑社区樟坑三区102栋403
深圳
龙华
广东
518131
CN",FBA,,Y,,,,Automotive License Plate Light Assemblies by MbuyD,3.2 ounces,6.1 x 2.7 x 1.9 inches,2023-07-04
,B00TOUP7OQ,Size: Pack of 9,Bull Ring,"Bull Ring Inner Bed Retractable Truck Bed Tie Down Anchors, Built for 2007+ Chevy Silverado &amp; GMC Sierra, 2015+ Chevy Colorado &amp; GMC Canyon, Fits in Truck Bed Stake Pockets, Easy Installation, 9 Pack",https://images-na.ssl-images-amazon.com/images/I/51hTasi-WXL._AC_US200_.jpg,B095XM1J38,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tie Downs & Anchors,Automotive,"10,953","18,101",165%,Truck Tie Downs & Anchors,33,271,"-1,800%","26,422",-18%,97.50,213,79%,6.10,"4,112",0.00%,4.70,931,2015-02-08,FBA,9,4,4,Bull Ring Direct,US,"公司名称：Bestop BullRing LLC
电话号码：951-894-5104
办公地址：
43352 Business Park Dr
TEMECULA
CA
92590
US",FBA,,Y,,Y,,chevy bed tie down anchors,0.01 ounces,7.5 x 5.5 x 2.5 inches,2023-07-04
,B0BZDMCFM3,,DUOOUT,Leather Keychain Compatible with GMC Sierra Denali Canyon Terrain Yukon Jimmy Acadia Family Present for Man and Woman,https://images-na.ssl-images-amazon.com/images/I/41W4bUNmJyS._AC_US200_.jpg,B0BZDMCFM3,Automotive:Interior Accessories:Keychains,Automotive,"152,094","-135,057",-89%,Keychains,444,265,"1,300%","3,177",13%,11.99,,53%,3.86,1,0.00%,5.00,0,2023-03-22,NA,7,1,1,GOOD BUYERS GOAL 837 STORE,US,"公司名称：RULY RIM LLC
办公地址：
2108 N ST STE # 5199
SACRAMENTO
CA
95816
US",NA,,,,,,,1.37 ounces,6.54 x 2.17 x 0.79 inches,2023-06-18
,B0B5GZ56RJ,Color: Blue,Tukellen,Tukellen for Chevrolet Key Fob Cover Soft TPU Full Protection Key Shell Key Case Compatible with Chevrolet Chevy Silverado Suburban Tahoe Colorado GMC Sierra Yukon Canyon 4 Buttons (Blue),https://images-na.ssl-images-amazon.com/images/I/41wS1ezM5dL._AC_US200_.jpg,B0B5GZ2LSB,Automotive:Interior Accessories:Key Shells,Automotive,"29,914","-11,373",-38%,Key Shells,889,263,"-1,400%","3,679",-14%,13.99,,62%,3.22,92,4.56%,4.70,12,2022-06-29,FBA,8,4,1,Tukellen,CN,"公司名称：Shenzhen Yinjiang Industrial Co., Ltd.
办公地址：
龙岗区坂田街道大发埔社区里浦街7号
TOP科技中心2栋701、70501
深圳市
广东省
518129
CN",FBA,,,,,,,0.634 ounces,2.6 x 1.6 x 0.6 inches,2023-07-03
,B07WNK9XG8,Size: 1x,KeylessOption,KeylessOption Keyless Entry Remote Car Key Fob for Chevy Silverado Colorado GMC Sierra Canyon 2014-2019 M3N-32337100,https://images-na.ssl-images-amazon.com/images/I/41iHkBIdkPL._AC_US200_.jpg,B07WNKB12B,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"16,889",612,4%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","80
3705",256,"5,700%","4,595",57%,17.95,17,66%,3.33,573,3.52%,4.00,9,2019-08-18,FBA,7,2,2,KeylessOption,US,"公司名称：1320 International LLC
办公地址：
66 main st
#2457
EATONTOWN
NJ
07724
US",FBA,,Y,,,,chevy silverado accessories 2014-2018,1.13 ounces,6.73 x 4.57 x 0.59 inches,2023-07-04
