Keyword,Related,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
amazon car,0.05,2900,62,0.77,0.54,2550000000,"Navigational, Transactional","Site links, Reviews, Image, Image pack, People also ask, Related searches","0.35,0.81,0.44,0.44,0.35,0.24,0.81,0.81,1.00,0.44,0.53,0.44"
auto parts com,0.05,2900,100,0.68,0.55,1600000000,Informational,"Site links, Reviews, Indented, Video carousel, Related searches, Ads top","0.82,0.65,0.65,0.65,0.82,0.82,0.65,1.00,0.42,0.42,0.55,1.00"
auto supplies,0.05,2900,91,0.95,0.4,331000000,Commercial,"Site links, Reviews, Indented, Image, Video, Local pack, Related searches, Popular products, Shopping ads","0.54,1.00,1.00,0.65,0.81,0.43,0.54,0.36,0.43,1.00,0.36,0.36"
car id com,0.05,2900,78,0.47,0.11,2780000000,Navigational,"Site links, Reviews, Image, Image pack, Knowledge panel, Related searches","1.00,1.00,0.81,0.81,0.65,0.54,1.00,0.43,0.43,0.43,0.43,0.43"
dog car,0.05,2900,46,0.56,0.98,2430000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, Related searches, Popular products","0.65,0.81,0.65,0.81,1.00,0.81,0.43,0.54,0.29,0.54,0.65,0.81"
ebay motors parts and accessories used,0.05,2900,64,0.45,0.5,58,"Navigational, Commercial","Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products","0.54,0.54,0.65,0.54,0.54,0.54,0.65,0.65,0.65,0.81,1.00,1.00"
car stuff,0.3,2400,64,0.57,1,1450000000,Commercial,"Site links, Reviews, Image, Image pack, Video, Local pack, Related searches, Popular products","0.80,0.67,0.80,0.80,0.67,0.80,0.67,1.00,0.80,0.67,0.44,0.67"
interior car accessories,0.3,2400,63,0.42,1,183000000,Commercial,"Site links, Reviews, Image, Video, Related searches, Popular products","0.54,0.54,0.81,0.54,0.54,0.43,0.54,0.43,0.30,1.00,0.54,0.81"
accessories for interior of car,0.25,2400,60,0.49,1,156000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads, Ads bottom","0.44,1.00,1.00,0.00,0.66,0.35,0.53,0.53,0.18,0.44,0.00,0.66"
car accessories for women,0.2,2400,45,0.36,1,89,Commercial,"Reviews, Video, Related searches, Popular products","1.00,1.00,0.83,0.83,0.83,0.66,0.83,1.00,1.00,0.83,0.66,0.83"
car gadgets,0.15,2400,64,0.43,1,177000000,Commercial,"Site links, FAQ, Reviews, Indented, Image, Video, Related searches, Popular products","0.43,0.43,0.54,0.54,0.65,0.43,0.43,0.81,1.00,0.54,0.36,0.43"
buy auto parts,0.05,2400,100,0.94,0.67,961000000,"Navigational, Transactional","Site links, Reviews, Indented, Video carousel, People also ask, Local pack, See results about, Related searches","0.66,0.80,0.80,1.00,1.00,0.52,0.52,0.52,0.44,0.66,0.44,0.66"
car-parts used,0.05,2400,71,0.5,0.27,2000000000,Navigational,"Site links, Reviews, Indented, Image, Local pack, Related searches","0.01,0.19,0.07,0.44,0.05,0.00,1.00,0.54,0.13,0.16,0.13,0.10"
cardid,0.05,2400,67,1.32,0.31,6270000,Navigational,"Site links, Reviews, Image, People also ask, Knowledge panel, Related searches","1.00,1.00,0.66,0.55,0.55,0.43,0.43,0.30,0.30,0.43,0.43,0.55"
cart parts,0.05,2400,100,1.21,0.83,590000000,Navigational,"Site links, Reviews, Indented, Image, Image pack, Local pack, Related searches, Popular products","0.44,0.66,0.52,0.66,1.00,0.44,0.66,0.66,0.80,1.00,1.00,0.52"
cute car,0.05,2400,38,1.96,0.32,5510000000,Informational,"Reviews, Indented, Image pack, Video, People also ask, Related searches","0.52,0.66,0.66,0.52,1.00,0.43,0.52,0.27,0.36,0.66,0.80,0.36"
ebay autos,0.05,2400,63,0.47,0.37,66,Navigational,"Site links, Reviews, Indented, Image pack, Video, Related searches","0.80,0.80,0.80,0.52,1.00,0.66,0.66,0.52,0.52,0.80,0.52,0.66"
ebay motors parts and accessories,0.05,2400,65,0.39,0.47,70,"Navigational, Commercial","Site links, Reviews, Image, Image pack, Video, Related searches","0.44,0.36,0.44,0.52,0.52,0.66,0.80,0.80,0.80,0.80,1.00,1.00"
id parts,0.05,2400,57,1.22,0.05,2710000000,Navigational,"Site links, Reviews, Image, Knowledge panel, Related searches, Ads top","1.00,0.83,1.00,0.65,0.65,0.55,0.65,0.55,0.45,0.83,1.00,0.83"
parts auto,0.05,2400,100,0.82,0.35,10760000000,Commercial,"Site links, Indented, Image, Image pack, Video, Local pack, Related searches, Ads bottom","0.44,0.53,0.44,0.33,0.33,0.33,0.33,0.53,0.67,0.33,0.28,1.00"
accesories for cars,0.7,1900,74,0.59,0.99,362000000,Commercial,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products","1.00,0.67,0.53,0.78,0.78,0.78,0.67,0.67,0.53,0.67,0.53,0.67"
accessories for car,0.7,1900,72,0.63,1,4120000000,Commercial,"Site links, Reviews, Image, Video, Related searches, Popular products","0.53,0.44,0.36,0.44,0.44,0.44,0.53,0.53,0.67,0.53,0.67,1.00"
accessories for cars,0.7,1900,75,0.63,1,4360000000,Commercial,"Site links, Reviews, Video, People also ask, Related searches, Popular products, Shopping ads, Ads top","0.67,0.80,0.80,1.00,0.52,0.44,0.67,0.52,0.35,0.44,0.35,0.28"
auto parts shop,0.05,1900,100,0.94,0.35,81,Commercial,"Site links, Reviews, Indented, Video, Local pack, Related searches, Ads top","0.82,0.82,0.82,0.65,0.82,0.82,0.65,0.82,1.00,0.30,0.44,0.65"
car cool,0.05,1900,56,1.47,0.93,2240000000,Informational,"Site links, Reviews, Indented, Image, Image pack, Video, Local pack, Related searches","1.00,0.80,0.80,0.43,0.52,0.52,0.18,0.18,0.18,0.43,0.23,0.23"
car organizers,0.05,1900,48,0.32,1,51400000,Commercial,"Site links, Indented, Image, Video, Related searches, Popular products","1.00,0.53,0.44,0.53,0.44,0.36,0.44,0.27,0.44,0.67,0.44,0.44"
car parts],0.05,1900,100,1.26,0.45,2230000000,"Navigational, Commercial","Site links, Reviews, Indented, Image, Local pack, Top stories, Related searches, Ads top","1.00,0.79,0.79,0.79,1.00,0.79,0.79,0.79,0.79,1.00,0.79,1.00"
carid auto parts,0.05,1900,59,0.7,0.89,86,Navigational,"Site links, Reviews, People also ask, Related searches","1.00,0.55,0.45,0.65,0.65,0.83,0.65,1.00,0.83,0.65,0.55,0.65"
cars-parts,0.05,1900,100,1.26,0.45,970000000,Navigational,"Site links, Reviews, Image, Image pack, Local pack, Related searches","0.29,0.29,0.29,0.29,0.29,0.24,1.00,0.24,0.24,0.29,0.29,0.44"
ebay usa motors,0.05,1900,86,0.6,0.44,57,"Navigational, Transactional","Site links, Reviews, Related searches","0.24,0.10,0.07,0.35,0.44,0.35,0.44,0.24,0.29,0.66,0.29,1.00"
motor parts,0.05,1900,81,0.72,0.79,2010000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Local pack, Related searches","0.79,0.54,0.54,0.79,0.54,1.00,0.79,1.00,1.00,0.79,0.66,0.66"
ofertas ebay usa,0.05,1900,56,0.49,0.05,33,"Navigational, Transactional","Site links, Reviews, Image, Image pack, Video, Related searches","1.00,1.00,1.00,0.84,0.65,0.65,0.65,0.44,0.44,0.44,0.56,0.65"
parts.,0.05,1900,100,0.77,0.12,8000000000,Commercial,"Site links, Indented, Image, Image pack, Video, Local pack, Related searches","0.01,0.01,0.00,0.16,0.00,1.00,1.00,0.00,0.01,0.00,0.00,0.02"
car accessory,0.65,1600,76,0.59,0.99,119000000,Commercial,"Site links, Reviews, Indented, Image, Video, Related searches, Popular products, Shopping ads, Ads top, Ads bottom","0.83,0.83,0.83,1.00,0.83,0.20,0.16,0.06,0.45,0.65,0.34,0.55"
car gear,0.35,1600,56,0.73,0.18,2520000000,"Informational, Commercial","Site links, Indented, Image pack, Video, People also ask, Related searches","0.24,0.66,0.27,0.27,0.36,0.20,0.24,0.66,1.00,0.16,0.20,0.20"
amazon car accessories,0.25,1600,55,0.21,1,60,"Navigational, Transactional","Site links, Indented, Image, Video, Related searches","0.85,0.85,1.00,0.85,0.52,0.69,0.69,0.69,0.85,0.69,1.00,0.85"
best accessories for a car,0.25,1600,63,0.25,1,3980000000,Commercial,"Site links, Reviews, Indented, Image, Video, Related searches","0.66,1.00,0.83,0.00,0.00,0.55,1.00,0.83,0.12,1.00,0.00,0.45"
vehicle accessories,0.25,1600,77,0.63,0.84,4540000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, Local pack, Related searches, Popular products","0.80,0.67,0.67,0.67,0.67,0.54,0.67,0.80,1.00,0.54,0.54,0.67"
auto accessory,0.15,1600,41,1.06,0.98,97200000,Commercial,"Site links, Reviews, Indented, Image, Video carousel, People also ask, Local pack, Related searches, Ads bottom","0.85,0.68,1.00,0.68,1.00,0.85,0.85,0.52,0.85,0.52,0.68,0.68"
best accessories,0.1,1600,76,0.33,0.13,1780000000,Commercial,"Site links, Indented, Image, Video carousel, People also ask, Local pack, Related searches","0.36,0.20,0.36,0.79,0.79,0.79,0.79,1.00,1.00,0.79,0.66,1.00"
car accessories for men,0.1,1600,40,0.42,1,168000000,Commercial,"Site links, Reviews, Indented, Image, Video, Related searches, Popular products","0.44,0.44,0.55,0.44,0.44,0.34,0.55,1.00,1.00,0.34,0.34,0.30"
anything automotive,0.05,1600,36,2.11,0.05,263000000,Transactional,"Site links, Reviews, Indented, Image pack, Local pack, Related searches","0.67,0.87,0.87,0.67,1.00,0.87,0.67,0.87,0.87,0.87,0.67,0.87"
auto accessories near me,0.05,1600,65,1.43,0.85,449000000,Transactional,"Site links, Reviews, Indented, Local pack, Related searches","0.79,0.79,0.79,0.66,0.66,0.66,0.66,0.66,1.00,0.66,0.66,0.66"
auto parts storr,0.05,1600,100,0.47,0.23,62,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Local pack, Top stories, Related searches","0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
car id.com,0.05,1600,70,0.47,0.12,3170000000,Navigational,"Site links, Reviews, Indented, People also ask, Knowledge panel","0.66,0.66,1.00,0.52,0.80,0.43,0.43,0.27,0.00,0.00,0.00,0.00"
car parts websites,0.05,1600,99,0.67,0.81,353000000,Commercial,"Site links, Reviews, Image, Related searches, Ads top, Ads bottom","0.66,0.66,0.66,0.66,0.41,0.66,1.00,0.79,0.66,1.00,0.36,0.79"
car_part,0.05,1600,100,1.26,0.45,4500000000,Navigational,"Site links, Reviews, Indented, Video, Related searches","0.44,0.10,0.44,1.00,0.07,0.80,0.44,0.36,0.24,0.52,0.52,0.36"
cars part,0.05,1600,92,0.99,0.31,2880000000,Navigational,"Site links, Reviews, Indented, Image, Image pack, Video, Local pack, Related searches","0.10,0.04,0.08,1.00,0.03,0.08,0.04,0.03,0.02,0.05,0.16,0.07"
cool accessories,0.05,1600,56,0.42,1,2780000000,Commercial,"Image, Video, Related searches","0.68,1.00,1.00,1.00,0.84,0.84,0.46,1.00,0.84,0.68,0.68,0.52"
cute cover,0.05,1600,38,1.27,1,1330000000,Commercial,"Reviews, Indented, Image, Image pack, Video, Related searches","1.00,0.08,0.81,1.00,1.00,0.07,0.10,0.07,0.22,0.03,0.03,0.08"
cute decorations,0.05,1600,56,0.35,1,834000000,Commercial,"Reviews, Image pack, Video, Related searches, Popular products","0.85,1.00,1.00,1.00,1.00,0.85,0.68,0.85,0.46,0.68,0.68,0.52"
ebay truck parts,0.05,1600,69,0.43,0.99,48,"Navigational, Transactional","Site links, Reviews, Indented, Image, Image pack, Video, Related searches, Popular products","0.68,0.68,0.68,0.68,0.68,0.85,1.00,0.85,0.85,0.85,0.68,0.85"
girly car seat covers,0.05,1600,32,0.24,1,58,Commercial,"Reviews, Indented, Image, Image pack, Video, Related searches, Popular products","1.00,1.00,0.79,0.79,0.67,0.67,0.55,0.55,0.36,0.41,0.30,0.41"
car accessories interior,0.3,1300,62,0.42,1,260000000,Commercial,"Site links, Reviews, Indented, Image, Video, Related searches, Popular products","0.54,0.54,0.67,0.54,0.54,0.41,0.54,0.54,0.54,0.30,1.00,0.67"
cool accessories for a car,0.25,1300,57,0.3,1,163000000,Commercial,"Site links, FAQ, Image, Video, Related searches, Popular products","0.44,0.01,0.05,0.00,1.00,0.16,0.44,0.24,0.24,0.52,0.00,0.66"
auto parts car,0.1,1300,100,1,0.57,668000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video carousel, Local pack, Related searches","0.44,0.81,0.02,1.00,0.03,0.01,0.02,0.00,0.05,0.03,0.01,0.03"
part for car,0.1,1300,100,1.26,0.45,14690000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Local pack, Related searches","0.80,0.55,0.66,1.00,0.80,0.30,0.55,0.30,0.18,0.23,0.30,0.36"
vehicle parts,0.1,1300,100,0.98,0.57,3830000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video carousel, People also ask, Local pack, Related searches, Ads top","0.68,0.68,0.68,0.84,0.68,0.68,0.52,0.68,1.00,0.68,0.68,0.52"
where to buy car parts,0.1,1300,100,0.77,0.46,951000000,Transactional,"Site links, Reviews, Indented, Video carousel, People also ask, Local pack, Related searches","0.79,1.00,0.66,0.41,0.41,0.54,0.41,0.41,0.41,0.41,0.36,0.41"
after market car parts,0.05,1300,86,0.54,0.84,71300000,Commercial,"Site links, Reviews, Image, People also ask, Local pack, Related searches","0.62,0.81,1.00,0.81,0.81,0.62,0.81,0.62,0.81,0.81,0.62,1.00"
auto everything,0.05,1300,60,2.6,0.2,3580000000,Navigational,"Site links, Reviews, Indented, Image, Local pack, Knowledge panel, Related searches, Ads top, Ads bottom","0.79,0.66,0.66,0.66,1.00,0.79,0.36,0.30,0.66,0.30,0.24,0.30"
auto parts online store,0.05,1300,100,0.83,0.92,1090000000,Commercial,"Site links, Reviews, Image, Video, Related searches, Ads bottom","0.41,0.41,0.54,0.66,1.00,0.54,0.41,0.30,0.36,0.36,0.41,0.36"
car pars,0.05,1300,100,1.26,0.45,2240000000,Navigational,"Site links, Reviews, Indented, Image, Video, Local pack, Related searches","0.05,1.00,0.66,0.24,0.13,0.79,0.66,0.79,1.00,0.54,0.41,0.66"
car replacement parts,0.05,1300,80,0.8,0.16,300000000,Commercial,"Site links, Indented, Image, Video, Related searches, Popular products","0.44,0.44,0.80,0.28,0.44,0.13,0.15,0.28,0.35,0.09,0.15,1.00"
carpartscom,0.05,1300,100,1.26,0.45,2180000000,Navigational,"Site links, Reviews, Indented, Image, Video, Local pack, Related searches","0.44,0.05,0.05,1.00,0.44,0.04,0.16,0.05,0.04,0.13,0.07,0.08"
cars parts online,0.05,1300,92,0.99,0.96,454000000,Commercial,"Site links, Reviews, Indented, Image, Video carousel, Related searches, Ads top","0.55,0.34,0.45,0.45,0.45,0.55,1.00,0.34,0.30,0.55,0.45,0.55"
cars pats,0.05,1300,100,1.26,0.45,914000000,Navigational,"Site links, Indented, Image pack, Local pack, Related searches, Ads bottom","1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
cool truck accessories,0.05,1300,37,0.32,1,42600000,Commercial,"Site links, Indented, Video, Related searches, Popular products","0.67,0.41,0.67,0.41,0.41,0.55,0.55,0.55,1.00,0.41,0.41,0.41"
ebay auto parts used,0.05,1300,72,0.46,0.86,50,"Navigational, Transactional","Site links, Reviews, Image, Video, Related searches, Popular products","0.30,0.45,0.81,0.81,1.00,0.62,1.00,0.81,0.81,0.81,0.81,0.81"
ebay automotive,0.05,1300,90,0.37,0.47,50,"Navigational, Transactional","Site links, Reviews, Video, Video carousel, People also ask, Related searches","0.62,0.62,0.62,0.81,0.81,1.00,0.81,0.62,0.62,0.81,1.00,0.81"
everything auto,0.05,1300,42,2.6,0.2,1890000000,Navigational,"Site links, Reviews, Indented, Image pack, Video carousel, Local pack, Related searches","0.68,0.46,0.37,0.37,0.68,0.52,1.00,1.00,0.52,0.84,0.68,0.84"
interior car,0.05,1300,63,0.83,0.82,2500000000,Informational,"Site links, Reviews, Indented, Image, Image pack, People also ask, Local pack, Related searches","0.55,0.55,0.65,0.65,0.55,1.00,0.05,0.16,0.01,0.20,0.04,0.34"
truck interior accessories,0.05,1300,44,0.42,1,61500000,Commercial,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products","0.82,0.82,1.00,0.62,0.82,0.62,0.82,1.00,1.00,1.00,0.30,0.62"
cars accessories,0.65,1000,76,0.63,1,4740000000,Commercial,"Site links, Reviews, Indented, Video, Related searches, Popular products","0.67,0.13,0.13,0.54,0.41,0.67,0.54,0.54,0.37,1.00,0.41,0.37"
auto acessories,0.25,1000,59,1.06,0.98,572000000,Commercial,"Site links, Reviews, Image, Video, Local pack, Popular products","0.00,0.44,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00"
car accessories stores,0.25,1000,69,0.62,0.64,201000000,Commercial,"Site links, Reviews, Indented, Image, Local pack, Related searches","0.16,0.16,0.18,1.00,0.24,0.10,0.10,0.13,0.08,0.10,0.10,0.05"
