主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B07MJKMGY4,"Size: 7""",Rydonair,Rydonair Antenna Compatible with Ford F150 2009-2023 | 7 inches Rubber Antenna Replacement | Designed for Optimized FM/AM Reception,https://images-na.ssl-images-amazon.com/images/I/41LL7wEmwxL._AC_US200_.jpg,B0C48BP812,Automotive:Replacement Parts:Lighting & Electrical:Electrical,Automotive,"2,098","2,158",103%,"Antenna Toppers
Automotive Replacement Electrical Equipment","3
38","1,389","-1,300%","36,100",-13%,25.99,59,70%,3.86,"9,997",5.76%,4.60,80,2019-01-09,FBA,8,2,1,Rydonair,CN,公司名称：Ningboshi Dajidianzikejiyouxiangongsi,FBA,Y,Y,,,,2018 ford f150 accessories,0.08 pounds,9.65 x 2.52 x 1.06 inches,2023-07-04
,B09XH1LLDY,,MAXRACING,MAXRACING Short Aluminum Antenna Compatible with Ford | F150 | F250 | F350 | F450 | F550 | Bronco,https://images-na.ssl-images-amazon.com/images/I/41JJQVuBZDL._AC_US200_.jpg,B09XH1LLDY,Automotive:Replacement Parts:Switches & Relays:Relays:Antenna,Automotive,"11,696","6,455",48%,Automotive Replacement Antenna Relays,3,"1,350","-5,200%","21,586",-52%,15.99,25,61%,3.86,61,0.00%,3.80,0,2022-04-09,FBA,9,1,1,POISON SCORPION,CN,"公司名称：guangzhou hengshangda wang luo ke ji youxiangongsi
办公地址：
广园西路岗头大街9号610房
广州市
越秀区
广东省
510400
CN",FBA,Y,,,Y,,,2.89 ounces,4.88 x 2.36 x 1.46 inches,2023-07-04
,B08C2LG4MB,Size: 5 pcs Full seat | Color: Black,Aierxuan,"Aierxuan Car Seat Covers Full Set with Waterproof Leather, Automotive Vehicle Cushion Cover for Cars SUV Pick-up Truck Fit for 2009 to 2023 Ford F150 Carhartt and 2017 to 2023 F250 F350 F450(Black)",https://images-na.ssl-images-amazon.com/images/I/51HBzV93j2L._AC_US200_.jpg,B08FFQBPXY,Automotive:Interior Accessories:Seat Covers & Accessories:Seat Covers,Automotive,"3,734",-9,0%,Automotive Seat Covers,49,"1,302","1,200%","260,386",12%,199.99,348,76%,18.13,"2,462",5.15%,4.40,67,2020-06-29,FBA,9,12,1,tiantai-LX,CN,公司名称：Ai Xuan-Yang Jian,FBA,,Y,,Y,,Automotive Seat Covers by Aierxuan,15.52 pounds,21 x 25 x 4 inches,2023-07-05
,B06XS2K18C,,USARemote,"Key Fob Keyless Entry Remote fits Ford, Lincoln, Mercury, Mazda F150 F250 F350 Escape Expedition Explorer Ranger (and More), Set of 2",https://images-na.ssl-images-amazon.com/images/I/51bEiO8GfYL._AC_US200_.jpg,B06XS2K18C,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"3,389",721,19%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","5
708","1,207",500%,"13,216",5%,10.95,152,49%,3.97,"7,095",5.47%,4.20,66,2017-03-20,FBA,8,1,3,USAREMOTE,US,"公司名称：Wholesale-24-7 LLC
办公地址：
1 Industrial Way West
Building E Suite F
Eatontown
NJ
07724
US",FBA,,Y,,,,ford key fob cover,0.06 pounds,1.3 x 0.5 x 2 inches,2023-07-04
,B00PCEG7A6,Style: In-Channel - Smoke,Auto Ventshade,"Auto Ventshade [AVS] In-Channel Ventvisor | 2015 - 2023 Ford F-150, 2017 - 2023 Ford F-150 Raptor/F-250/F-350/F-450/F-550 Super Duty SuperCrew - Smoke, 4 pc. | 194975",https://images-na.ssl-images-amazon.com/images/I/41UsSEyVPfL._AC_US200_.jpg,B087Z7SYSS,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"4,892","-1,204",-25%,Side Window Wind Deflectors & Visors,3,"1,172","3,000%","76,168",30%,64.99,179,65%,13.09,"6,956",3.75%,4.00,44,2014-11-06,AMZ,9,5,2,Amazon,US,"公司名称：RealTruck E-Commerce LLC dba RealTruck
电话号码：855-889-2062
办公地址：
4414 SW College Rd
Suite 1410
Ocala
Florida
34474
US",AMZ,Y,,,Y,,,2.22 pounds,46.9 x 11.9 x 1.9 inches,2023-07-05
,B0B59WXWCB,Size: 2015-2022 | Color: Matte Black,Zxiaochun,Zxiaochun Rear Middle Window American Flag Decal for Ford F150 F250 F350 2015-2022 2023 Back Centre Sliding Window Glass USA Flag Vinyl Sticker(Matte Black),https://images-na.ssl-images-amazon.com/images/I/41tFXMcr1kL._AC_US200_.jpg,B0BTM3SJ9D,"Automotive:Exterior Accessories:Bumper Stickers, Decals & Magnets:Decals",Automotive,"3,616",-392,-12%,Automotive Decals,19,"1,100","3,000%","17,545",30%,15.95,,64%,3.40,143,3.36%,4.50,37,2022-06-27,FBA,9,5,1,Xiaochun,CN,"公司名称：shenzhenshixinshuntaimaoyiyouxiangongsi
办公地址：
民治街道大岭社区莱蒙春天花园5期
3栋A单元5D
深圳市
龙华区
广东省
518110
CN",FBA,,Y,,Y,,Automotive Decals by Zxiaochun,5.6 ounces,14.06 x 11.34 x 0.28 inches,2023-07-05
,B07Q62NHFY,,Husky Liners,"Husky Liners - Custom Fit Sunshade | 2015 - 2023 Ford F-150 (includes 22-23 Lightning SuperCrew) 2017 - 2023 F-250, F-350, Silver | 97007",https://images-na.ssl-images-amazon.com/images/I/31wNgQIMcbL._AC_US200_.jpg,B07Q62NHFY,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"2,824",66,2%,Automotive Windshield Sunshades,85,"1,076","6,100%","56,307",61%,52.33,21,62%,11.83,"1,400",2.32%,4.60,25,2019-04-01,AMZ,8,1,2,Amazon,,,AMZ,,Y,,Y,,Automotive Windshield Sunshades by Husky Liners,3.04 pounds,40.5 x 8 x 2.5 inches,2023-07-04
,B08YYWJH8Q,Color: Black,PIMCAR,"PIMCAR Compatible with Ford 2015-2020 F150, 2017-2022 F250 F350 F450, 2018-2022 Expedition Center Console Organizer Insert Tray Pallet Storage Accessories (Work Great with The Factory Tray) - One Tray",https://images-na.ssl-images-amazon.com/images/I/51XK1nUBwBL._AC_US200_.jpg,B0B469KCVC,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"3,958",128,4%,Automotive Center Consoles,21,"1,062",500%,"15,813",5%,14.89,14,44%,6.10,673,4.05%,4.50,43,2021-03-14,FBA,9,2,1,PIMCAR,CN,"公司名称：guangzhouhuangannamaoyiyouxiangongsi
办公地址：
鹤龙街鹤边通达创意园西区二横路1号7号楼5楼506
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Automotive Center Consoles by PIMCAR,0.65 pounds,13.1 x 4.7 x 2.2 inches,2023-07-05
,B07PY6MDPP,Size: 5.5 FT | Style: Quad-Fold Soft,MOSTPLUS,MOSTPLUS Quad Fold Soft Truck Bed Tonneau Cover On Top Compatible for 2015-2023 Ford F150 F-150 Bed Fourth Fold Styleside (5.5 FT Feet Bed),https://images-na.ssl-images-amazon.com/images/I/51y1GgASmmL._AC_US200_.jpg,B09GG13MNT,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"3,234","1,031",39%,Truck Tonneau Covers,4,"1,054",-800%,"204,465",-8%,193.99,126,63%,43.41,"1,894",6.07%,4.40,64,2019-03-31,FBM,9,6,1,MOSTPLUS,CN,"公司名称：changhong chen
办公地址：
鹿城区滨江街道
御景苑5幢601室
温州
浙江
325000
CN",FBM,Y,Y,,Y,,Truck Tonneau Covers by MOSTPLUS,31.4 pounds,70.75 x 20.5 x 5.6 inches,2023-07-05
,B07N8HLV3R,,VIPMOTOZ,VIPMOTOZ Bright White SMD LED License Plate Light Compatible with Ford F150 F250 F350 Super Duty Ranger Pickup Explorer Bronco Excursion Expedition Rear Bumper Tag Lamp Housing Assembly,https://images-na.ssl-images-amazon.com/images/I/41vQRVOowqS._AC_US200_.jpg,B07N8HLV3R,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"4,348",40,1%,Automotive License Plate Light Assemblies,17,"1,035","1,000%","13,361",10%,12.91,13,55%,3.86,"2,019",6.28%,4.60,65,2019-01-29,FBA,9,1,1,VIPMOTOZ,US,"公司名称：VIP Lightz Inc.
电话号码：1-844-884-7847
办公地址：
18351 Colima Rd #91
Rowland Heights
CA
91748
US",FBA,,Y,,Y,,Automotive License Plate Light Assemblies by VIPMO,2.11 ounces,4.33 x 2.48 x 1.93 inches,2023-07-05
,B0928MTSVD,Color: Black-Pu Leather,JDMCAR,"JDMCAR Center Console Cushion Compatible with 2015-2020 Ford F150 / 2017-2022 F250 F350 F450 and 2018-2023 Expedition Accessories, Customized PU Leather Armrest Cover Protector (Bucket Seat Only)",https://images-na.ssl-images-amazon.com/images/I/41NRGFYU45L._AC_US200_.jpg,B0C2H9P743,"Automotive:Replacement Parts:Body & Trim:Trim:Interior:Armrests, Parts & Accessories",Automotive,"4,075",487,12%,"Automotive Armrests & Accessories
Automotive Interior Accessories","15
809",983,200%,"35,378",2%,35.99,53,67%,6.39,"1,493",5.19%,4.80,51,2021-04-10,FBA,9,3,1,JDMCAR,CN,公司名称：Guangzhouzhigongmaoyiyouxiangongsi,FBA,,Y,,Y,,2018 f150 center console cover,1 pounds,15.6 x 12.3 x 3 inches,2023-07-04
,B07Y7WT58R,,KARPAL,KARPAL Center Flexible Flex Step Tailgate Cap Mad Molding Trim w/Release Button Compatible with Ford F150 F-150 2015-2020,https://images-na.ssl-images-amazon.com/images/I/41Vq9xz6BDL._AC_US200_.jpg,B07Y7WT58R,Automotive:Replacement Parts:Body & Trim:Body:Truck Beds & Tailgates,Automotive,"5,830",-778,-14%,Truck Beds & Tailgates,9,981,"3,300%","31,902",33%,32.52,12,52%,10.57,903,2.65%,4.40,26,2019-09-21,FBA,9,1,1,KARPAL,US,"公司名称：KARPAL Inc.
电话号码：972-559-9731
办公地址：
12750 Perimeter Dr
STE 154
Dallas
Texas
75228
US",FBA,,Y,,Y,,ford f150 tailgate cap,1.5 pounds,36.5 x 4.7 x 2.3 inches,2023-07-04
,B07H2RMNZ8,Size: Fit 15-21 SuperCrew | Style: 1 X Extra Box,oEdRo,OEDRO Upgraded Under Seat Storage Box Compatible with 2015-2023 Ford F150 SuperCrew Cab &amp; Crew Cab - Unique Textured Black 2-in-1 Design Max Storage (Excl. Super Cab),https://images-na.ssl-images-amazon.com/images/I/41S+QZh5qnL._AC_US200_.jpg,B0C7R6DGFW,Automotive:Interior Accessories:Consoles & Organizers:Under-Seat Consoles,Automotive,"6,612",-473,-7%,"Under-Seat Consoles
Trunk Organizers","3
37",981,"1,500%","137,330",15%,139.99,78,62%,31.99,"1,691",3.47%,4.70,34,2018-11-20,FBA,10,4,1,OEDRO Direct,CN,"公司名称：Yiwu PinLi E-commerce Co. , Ltd",FBA,Y,,,Y,,,13.5 pounds,54.6 x 13.1 x 8.7 inches,2023-07-05
,B01AP2BNS0,,DEE ZEE,DZ43204 Tailgate Assist fits 15-Current Ford F150,https://images-na.ssl-images-amazon.com/images/I/31csbBQBYSL._AC_US200_.jpg,B01AP2BNS0,Automotive:Replacement Parts:Body & Trim:Body:Truck Beds & Tailgates,Automotive,"6,219","-1,549",-25%,Truck Beds & Tailgates,10,959,500%,"27,983",5%,29.18,249,69%,4.75,"12,834",6.15%,4.80,59,2016-01-15,AMZ,8,1,37,Amazon,US,"公司名称：Amazon Export Sales LLC
办公地址：
345 Boren Ave N",AMZ,,Y,,Y,,f150 tailgate assist,1 pounds,13 x 5 x 2 inches,2023-07-04
,B000V5SP92,,K&amp;N,"K&amp;N Engine Air Filter: Increase Power &amp; Towing, Washable Replacement Air Filter: Compatible 2007-2021 Ford/Lincoln Truck/SUV (F150, Raptor, Expedition, Navigator, F250, F350, F450, F550, F650) 33-2385",https://images-na.ssl-images-amazon.com/images/I/41NXWX8u61L._AC_US200_.jpg,B000V5SP92,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Air Filters,Automotive,"5,934","-1,051",-18%,Automotive Replacement Air Filters,67,871,"4,000%","45,283",40%,51.99,90,75%,5.40,"2,669",2.53%,4.80,22,2007-07-30,AMZ,8,1,5,Amazon,US,公司名称：TAP Worldwide LLC,AMZ,,Y,,,,k n air filter,1 pounds,11 x 11 x 12.5 inches,2023-07-04
,B082TT5LPC,,Eisen Performance,Set of 24 Eisen 14x1.5mm One-Piece Chrome OEM Factory Style Large Lug Nuts for 2015-2020 Ford F-150 F150 Expedition Lincoln Navigator Factory Stock Wheels,https://images-na.ssl-images-amazon.com/images/I/41jt4aueNQL._AC_US200_.jpg,B082TT5LPC,Automotive:Tires & Wheels:Accessories & Parts:Lug Nuts & Accessories:Lug Nuts,Automotive,"5,600","-2,437",-35%,Wheel & Tire Lug Nuts,10,836,700%,"40,955",7%,48.99,29,68%,8.29,"1,451",3.23%,4.50,27,2019-12-15,FBA,8,1,1,CNT Deals,US,"公司名称：Vapor Labs Inc
办公地址：
11642 Knott st #19
Garden Grove
CA
92841
US",FBA,,Y,,,,Wheel & Tire Lug Nuts by Eisen Performance,6.04 pounds,7.48 x 6.77 x 2.4 inches,2023-07-04
,B073ZPP2SK,,MAS,MAS Ignition Coil DG508 &amp; Motorcraft Spark Plug SP479 compatible with Ford 4.6L 5.4L V8 DG457 DG472 DG491 CROWN VICTORIA EXPEDITION F-150 F-250 MUSTANG LINCOLN MERCURY EXPLORER (Set of 8),https://images-na.ssl-images-amazon.com/images/I/512AtTuPguL._AC_US200_.jpg,B073ZPP2SK,Automotive:Replacement Parts:Ignition Parts:Coil Packs,Automotive,"4,710",337,7%,Automotive Replacement Ignition Coil Packs,1,835,700%,"74,306",7%,88.99,149,76%,7.65,"4,494",6.83%,4.50,57,2017-04-23,FBA,10,1,4,king-auto-parts,US,公司名称：Shingki Inc,FBA,Y,Y,,Y,,Automotive Replacement Ignition Coil Packs by MAS,4.1 pounds,10.94 x 10.2 x 3.5 inches,2023-07-03
,B0B8Z8Q4TH,Size: Ford F-Series & Expedition | Color: Red,GIANT PANDA,GIANT PANDA Car Steering Wheel Cover for Ford F150 F250 F350 Expedition 15.5-16 inches - Red,https://images-na.ssl-images-amazon.com/images/I/516x6N91ONL._AC_US200_.jpg,B0B8Z9BYMW,Automotive:Interior Accessories:Steering Wheels & Accessories:Steering Accessories,Automotive,"5,488",-480,-9%,"Steering Wheel Accessories
Steering Wheel Covers","38
64",821,"2,600%","18,053",26%,21.99,3,60%,5.40,323,3.05%,4.50,25,2022-08-07,FBA,9,11,1,GIANTPANDA,CN,公司名称：Guang Zhou Wo Man Mao Yi You Xian Gong Si,FBA,,,,Y,,,14.4 ounces,10 x 4 x 3 inches,2023-07-04
,B0732VMKHM,,BuiltRight Industries,"BuiltRight Industries Rear Seat Release for Ford F-150 (2009+), F-250/350 (2017+) - The Original, Made in USA",https://images-na.ssl-images-amazon.com/images/I/21OZ4xtY8CL._AC_US200_.jpg,B0732VMKHM,Automotive:Replacement Parts,Automotive,"6,686",-836,-12%,Automotive Replacement Parts,1552,745,-900%,"21,597",-9%,28.99,80,69%,4.75,"2,316",6.17%,4.70,46,2017-06-20,FBA,10,1,1,BuiltRight Industries,US,"公司名称：Connecticut
办公地址：
40 Still River Drive
NEW MILFORD
CT
06776
US",FBA,,,,Y,,,5.6 ounces,8.07 x 4.84 x 2.83 inches,2023-07-04
,B0C4KRXFQC,Color: for F1 black,Incredikoo,"Incredikoo Tire Valve Stem Caps, Compatible with Ford F150 Stem Cap Universal Caps Air Cover Car Accessories for Cars, SUV, Truck, Motorcycles 4pcs（Black）",https://images-na.ssl-images-amazon.com/images/I/41stGXjyr3L._AC_US200_.jpg,B0C3B8QYPP,Automotive:Tires & Wheels:Accessories & Parts:Valve Stems & Caps:Stem Caps,Automotive,"9,806","-4,970",-51%,Tire Valve Stem Caps,91,723,"8,200%","7,222",82%,9.99,,53%,3.22,54,3.46%,4.30,25,2023-05-07,FBA,7,9,1,DSFAFEWREWR,CN,"公司名称：shanxijuyuanshangmaoyouxiangongsi
办公地址：
经济技术开发区华信大道8号(衍亿科技企业孵化器405号)
运城市
绛县
山西省
044000
CN",FBA,,Y,,,,Tire Valve Stem Caps by Incredikoo,0.317 ounces,4.65 x 2.83 x 0.47 inches,2023-07-04
,B07W6DFZTC,,LESAUCE,"LESAUCE LED License Plate Light Tag Lamp Assembly Replacement For Ford F-150 F-250 F-350 F-450 F-550 Superduty Ranger Pickup Truck Explorer Bronco Excursion Expedition, DC12V 6000K White, Pack of 2",https://images-na.ssl-images-amazon.com/images/I/41SCyf9Qq3L._AC_US200_.jpg,B07W6DFZTC,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"5,248","-2,406",-29%,Automotive License Plate Light Assemblies,18,721,-600%,"9,365",-6%,12.99,13,55%,3.86,"3,145",4.58%,4.10,33,2019-08-05,FBA,9,1,2,LESAUCE LIGHTING,CN,"公司名称：ShenZhenLiPengDianZiShangWuYouXianGongSi
办公地址：
BanTianJieDaoBuLongLuHongShengYuanGongYeYuan C Dong 502
ShenZhenShiLongGangQu
Guangdong
518000
CN",FBA,,Y,,Y,,Automotive License Plate Light Assemblies by LESAU,1.44 ounces,5.08 x 2.44 x 1.73 inches,2023-07-04
,B096Z7VFP3,Size: F150 2015-2020,Proadsy,"Proadsy Front Windshield Sunshade Foldable Sun Shade Protector Custom Fit 2015-2020 Ford F-150 F150 Lariat, King Ranch, Platinum, XL XLT Limited Raptor Accessories 2023 Upgrade",https://images-na.ssl-images-amazon.com/images/I/41zgeEovFFS._AC_US200_.jpg,B09ZLB595C,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"4,668",943,20%,Automotive Windshield Sunshades,121,711,"13,300%","20,611",133%,28.99,5,64%,6.10,297,2.95%,4.50,21,2021-06-09,FBA,10,2,1,Proadsy Direct,CN,公司名称：Lai Zengdi,FBA,,Y,,,,Automotive Windshield Sunshades by Proadsy,12 ounces,13.19 x 11.77 x 1.85 inches,2023-07-04
