关键词,关键词翻译,ABA排名,6月搜索量,5月搜索量,搜索增长率,月购买量,购买率,商品数,供需比,SPR,标题密度,点击集中度,货流值,均价,评分数,评分值,PPC价格,同比增长值,同比增长率,近3个月增长值,近3个月增长率,所属类目
mabbett bronco,马贝特野马,"1,346,993",807,"1,335",60.44%,17,2.14%,151,5.3,23,0,22.9%,0.8%,$59.99,48,4.5,$0.46,,,304,60.44%,Automotive Parts & Accessories
ford bronco key fob cover,福特野马钥匙扣盖,"733,405","1,926","3,703",52.01%,18,0.98%,411,4.7,26,1,14.5%,4.1%,$13.99,129,4.5,$0.57,"1,148",147.56%,-779,-30.23%,Automotive Parts & Accessories
bronco tshirt,野马 T 恤,"491,888","2,844","5,520",51.52%,59,2.08%,"11,048",0.3,30,0,12.6%,3.2%,$23.99,8,5.0,$0.77,"2,058",261.83%,390,26.23%,"Clothing, Shoes & Jewelry; Sports & Outdoors; Automotive Parts & Accessories"
ford bronco license plate frame,福特野马车牌框架,"988,712","1,379","2,693",51.21%,72,5.27%,456,3.0,28,0,47.7%,,$24.95,38,4.5,,-59,-4.10%,-682,-42.79%,Automotive Parts & Accessories
2023 bronco 2 door accessories,2023年野马2门配件,"1,889,755",527,"1,136",46.39%,1,0.15%,"6,710",0.1,12,0,18.2%,8.3%,$28.99,162,4.8,$2.40,,,167,46.39%,Automotive Parts & Accessories
ford bronco phone mount,福特野马手机支架,"1,806,352",561,"1,258",44.59%,28,5.11%,397,1.4,13,0,28.6%,2.9%,$32.99,22,4.0,$0.94,-134,-19.28%,-153,-28.28%,Cell Phones & Accessories; Handmade; Automotive Parts & Accessories
ford bronco cover,福特野马盖,"1,806,351",561,"1,258",44.59%,31,5.53%,190,3.0,13,0,48.6%,2.8%,$65.99,4,3.7,$1.83,,,173,44.59%,Automotive Parts & Accessories
2022 bronco accessories,2022 野马配件,"1,545,436",669,"1,525",43.87%,4,0.68%,"6,824",0.1,19,0,14.6%,2.0%,$49.99,70,4.0,$0.99,"-1,828",-73.21%,-460,-49.73%,Automotive Parts & Accessories; Cell Phones & Accessories; Tools & Home Improvement
bronco accessories,野马配件,"40,943","20,057","48,824",41.08%,98,0.49%,"3,281",6.1,63,17,9.9%,1.1%,$56.99,147,4.5,$0.63,"-4,341",-17.79%,"-8,370",-37.06%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Cell Phones & Accessories"
2023 ford bronco,2023年福特野马,"1,446,108",729,"2,039",35.75%,37,5.11%,124,5.9,21,4,18.2%,15.7%,$26.99,217,4.5,$4.23,,,-122,-18.51%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Tools & Home Improvement"
bronco cup holder for back seat,布朗科后座杯架,"1,750,787",583,"1,653",35.27%,12,2.17%,422,1.4,13,0,63.9%,,$37.99,48,4.5,,,,60,16.17%,Automotive Parts & Accessories
bronco roof rack 4 door,布朗克车顶架4门,"1,846,171",545,"1,547",35.24%,5,0.92%,115,4.7,13,0,38.2%,1.3%,$139.90,8,3.9,$1.88,,,-70,-14.80%,Automotive Parts & Accessories; Tools & Home Improvement; Sports & Outdoors
bronco dash rail,布朗克仪表盘导轨,"2,009,359",476,"1,351",35.23%,9,1.92%,222,2.1,21,0,41.9%,3.3%,$43.99,6,4.0,$1.46,,,124,35.23%,Automotive Parts & Accessories; Cell Phones & Accessories; Sports & Outdoors
bronco shirt,野马衬衫,"703,278","2,057","5,852",35.15%,179,8.72%,"1,910",1.1,28,2,13.4%,5.1%,$24.99,8,5.0,$1.28,"1,006",95.72%,-281,-15.59%,"Clothing, Shoes & Jewelry; Sports & Outdoors; Automotive Parts & Accessories"
bronco hitch,野马结,"1,088,754","1,207","3,462",34.86%,29,2.47%,212,5.7,28,2,47.2%,2.3%,$111.23,32,4.5,$2.55,624,107.03%,-398,-30.78%,Automotive Parts & Accessories
2023 bronco sport accessories,2023年布朗克运动配件,"754,726","1,866","5,480",34.05%,17,0.96%,"3,662",0.5,29,0,19.2%,2.4%,$26.99,309,4.5,$0.66,,,211,24.65%,Automotive Parts & Accessories
bronco windshield sun shade,布朗克挡风玻璃遮阳板,"1,239,303",899,"2,709",33.19%,29,3.24%,472,1.9,26,2,46.1%,4.9%,$25.99,4,3.0,$1.28,,,224,33.19%,Automotive Parts & Accessories; Sports & Outdoors
bronco toy car,野马玩具车,"1,261,932",880,"3,218",27.35%,22,2.61%,"1,238",0.7,25,0,54.9%,3.4%,$15.16,18,4.3,$0.51,340,62.96%,-142,-17.05%,Toys & Games; Automotive Parts & Accessories
bronco running boards 4 door,Bronco 跑板 4 门,"1,664,881",620,"2,270",27.31%,3,0.54%,185,3.4,14,0,36.8%,0.9%,$279.99,35,4.3,$2.42,,,-136,-21.83%,Automotive Parts & Accessories
bronco hammock,棕熊吊床,"2,070,246",448,"1,643",27.27%,10,2.41%,418,1.1,19,1,76.7%,8.6%,$17.99,2,5.0,$1.54,,,96,27.27%,Automotive Parts & Accessories; Pet Supplies; Sports & Outdoors
ford bronco model,福特野马模型,"1,315,579",833,"3,132",26.60%,44,5.38%,"11,377",0.1,24,0,38.8%,0.8%,$24.79,296,4.5,$0.20,-144,-14.74%,-35,-6.60%,"Toys & Games; Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
bronco grill,布朗克烧烤,"1,550,762",666,"2,694",24.72%,13,2.08%,"1,322",0.5,19,1,56.1%,0.2%,$405.99,1,5.0,$0.66,,,-440,-45.17%,Automotive Parts & Accessories
bronco floor mats,布朗克地板垫,"1,285,745",859,"3,534",24.31%,9,1.09%,880,1.0,24,2,26.0%,2.3%,$162.00,64,4.5,$3.67,,,-464,-40.17%,Automotive Parts & Accessories
bronco cup holder,野马杯架,"1,217,228",919,"3,799",24.19%,21,2.33%,"1,498",0.6,26,2,54.7%,2.9%,$29.99,48,4.4,$0.87,,,-496,-40.13%,Automotive Parts & Accessories
bronco sport accessories 2023,Bronco运动配件2023,"180,728","6,304","26,543",23.75%,58,0.93%,"4,387",1.4,38,1,20.0%,3.2%,$22.95,186,4.5,$0.74,,,455,9.81%,Automotive Parts & Accessories; Cell Phones & Accessories
ford bronco shirt,福特野马衬衫,"236,519","5,219","23,011",22.68%,591,11.33%,"1,243",4.2,38,3,17.4%,5.1%,$23.99,224,4.5,$1.23,"1,982",61.23%,-227,-5.07%,"Clothing, Shoes & Jewelry; Sports & Outdoors; Automotive Parts & Accessories"
bronco sport car accessories,Bronco运动汽车配件,"620,439","2,300","10,445",22.02%,14,0.65%,"16,833",0.1,28,0,13.2%,2.1%,$21.99,98,4.5,$0.47,,,-885,-31.95%,Automotive Parts & Accessories; Cell Phones & Accessories
ford bronco sport accessories 2023 4 door,福特野马运动配件2023年4门版,"1,672,727",616,"2,865",21.50%,2,0.38%,"2,041",0.3,14,0,42.1%,,$14.99,322,4.8,,,,109,21.50%,Automotive Parts & Accessories
bronco bull bar,野马的牛栏,"1,239,301",899,"4,183",21.49%,8,0.93%,102,8.8,26,1,34.6%,1.5%,$138.69,4,3.7,$2.15,,,-234,-24.02%,Automotive Parts & Accessories
bronco letter overlay,野马字母覆盖,"1,116,607","1,170","5,475",21.37%,33,2.84%,202,5.8,27,0,34.5%,1.5%,$28.99,1,1.0,$0.44,,,-69,-10.24%,Automotive Parts & Accessories; Handmade
ford bronco sport seat covers,福特野马运动座椅套,"1,290,592",854,"4,211",20.28%,38,4.47%,969,0.9,24,0,22.0%,1.1%,$129.98,1,5.0,$1.44,,,-285,-35.45%,Automotive Parts & Accessories; Pet Supplies
2023 ford bronco sport accessories,2023年福特野马运动配件,"574,363","2,505","13,027",19.23%,24,0.97%,"3,722",0.7,30,0,16.8%,,$22.95,186,4.5,,,,-7,-0.33%,Automotive Parts & Accessories
bronco speaker pods,布朗克扬声器吊舱,"2,134,839",417,"2,258",18.47%,6,1.53%,112,3.7,18,0,68.9%,0.7%,$149.99,6,3.7,$1.12,,,-385,-52.24%,Electronics; Automotive Parts & Accessories
bronco cover,野马盖,"2,009,358",476,"2,628",18.11%,9,1.94%,"4,865",0.1,21,1,41.9%,2.6%,$59.99,2,3.2,$1.58,-178,-27.22%,73,18.11%,Automotive Parts & Accessories
bronco trailer hitch,布朗科拖车吊架,"1,706,799",602,"3,380",17.81%,19,3.22%,292,2.1,13,2,56.7%,2.0%,$99.88,9,4.5,$2.04,,,-201,-28.23%,Automotive Parts & Accessories
bronco cargo mat,野马货物垫,"1,846,169",545,"3,215",16.95%,3,0.65%,372,1.5,13,3,58.8%,1.9%,$148.99,127,4.5,$2.85,-73,-11.81%,-265,-31.89%,Automotive Parts & Accessories
bronco emblem black,野马会徽黑色,"1,285,744",859,"5,342",16.08%,29,3.39%,352,2.4,24,0,50.0%,3.5%,$24.99,95,4.5,$0.88,,,-416,-35.99%,Automotive Parts & Accessories; Toys & Games
bronco grab handles,野马把手,"560,499","2,602","17,198",15.13%,48,1.86%,215,12.1,27,1,33.9%,9.4%,$16.99,10,4.3,$1.60,790,43.60%,-138,-5.53%,Automotive Parts & Accessories
bronco spare tire cover,野马备胎罩,"872,864","1,549","10,327",15.00%,60,3.88%,"1,011",1.5,29,3,27.3%,1.6%,$35.99,20,4.5,$0.58,919,145.87%,-238,-14.12%,Automotive Parts & Accessories
bronco center console organizer,野马中央控制台组织者,"1,951,745",501,"3,420",14.65%,11,2.27%,678,0.7,12,1,43.7%,,$23.99,318,4.5,,-96,-16.08%,-412,-80.47%,Automotive Parts & Accessories
black bronco emblem,黑色Bronco徽章,"1,663,551",620,"5,295",11.71%,26,4.21%,345,1.8,14,0,57.9%,8.1%,$15.75,42,4.5,$1.27,,,65,11.71%,Automotive Parts & Accessories; Toys & Games
ford bronco key chain,福特野马钥匙扣,"599,876","2,381","21,146",11.26%,130,5.48%,841,2.8,29,1,28.5%,5.2%,$11.99,62,4.5,$0.62,"1,731",266.31%,6,0.28%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Tools & Home Improvement"
bronco mud flaps,野马挡泥板,"1,092,907","1,205","10,995",10.96%,31,2.63%,494,2.4,28,2,38.7%,3.0%,$129.99,22,3.9,$3.88,,,-347,-24.21%,Automotive Parts & Accessories
ford bronco toy,福特野马玩具,"723,826","1,914","18,333",10.44%,102,5.35%,"1,863",1.0,26,0,38.2%,2.8%,$15.16,18,4.5,$0.43,581,43.59%,-149,-9.09%,"Toys & Games; Clothing, Shoes & Jewelry; Automotive Parts & Accessories"
bronco tailgate table,野马尾门桌,"675,761","2,150","21,565",9.97%,21,1.02%,23,93.5,30,2,36.4%,1.1%,$169.99,35,4.0,$1.90,"1,477",219.47%,-463,-22.72%,Automotive Parts & Accessories; Sports & Outdoors
bronco hat,野马帽,"352,350","3,863","39,378",9.81%,113,2.94%,"1,330",2.9,28,0,27.8%,5.4%,$29.95,451,4.8,$1.61,-451,-10.45%,345,9.81%,"Clothing, Shoes & Jewelry; Automotive Parts & Accessories; Sports & Outdoors"
bronco emblem light,布朗克车标灯,"1,084,620","1,239","12,839",9.65%,18,1.52%,81,15.3,29,0,96.9%,1.1%,$109.99,5,3.7,$1.17,,,-759,-32.08%,Automotive Parts & Accessories
bronco grille letters,布朗克格栅字母,"883,932","1,569","18,118",8.66%,9,0.63%,123,12.8,29,0,33.6%,8.4%,$23.99,16,4.3,$2.02,,,-153,-9.58%,Automotive Parts & Accessories; Industrial & Scientific; Handmade
bronco key fob cover,野马钥匙扣盖,"480,297","2,936","35,718",8.22%,4,0.15%,459,6.4,31,1,17.5%,3.3%,$13.99,103,4.5,$0.46,"1,670",131.91%,-198,-6.80%,Automotive Parts & Accessories
ford bronco sport accessories,福特野马运动配件,"108,447","9,588","125,992",7.61%,62,0.65%,"16,118",0.6,39,4,17.8%,2.9%,$22.95,123,4.5,$0.67,"4,438",86.17%,270,3.13%,Automotive Parts & Accessories; Handmade
ford bronco spare tire covers,福特野马备胎罩,"789,826","1,831","30,115",6.08%,143,7.81%,533,3.4,28,0,31.7%,1.1%,$39.99,20,3.7,$0.44,-433,-19.13%,-675,-28.11%,Automotive Parts & Accessories
ford bronco emblem,福特野马标志,"638,242","2,302","42,630",5.40%,31,1.37%,871,2.6,28,1,31.9%,10.3%,$25.99,95,4.5,$2.67,-670,-22.54%,-428,-23.73%,Automotive Parts & Accessories; Home & Kitchen
bronco cargo net,勃朗科货运网,"2,203,267",379,"7,595",4.99%,29,7.84%,268,1.4,13,1,53.6%,5.8%,$15.99,39,4.4,$0.93,,,18,4.99%,Automotive Parts & Accessories
ford bronco accessories 2023 4 door,福特野马配件2023年4门版,"565,316","2,582","53,904",4.79%,8,0.31%,"2,273",1.1,27,0,12.4%,,$49.99,166,4.5,,,,118,4.79%,Automotive Parts & Accessories
bronco key cover,野马钥匙盖,"1,664,879",620,"13,626",4.55%,3,0.51%,"1,314",0.5,14,0,31.6%,3.4%,$15.99,187,4.5,$0.55,,,27,4.55%,Automotive Parts & Accessories
bronco antenna 2023,2023年的布朗克天线,"1,363,548",793,"20,178",3.93%,19,2.41%,142,5.6,23,0,31.9%,8.6%,$19.99,"3,003",4.3,$1.71,,,-103,-14.95%,Automotive Parts & Accessories
ford bronco sport roof rack,福特野马运动车顶行李架,"2,147,691",410,"11,582",3.54%,18,4.54%,152,2.7,14,0,41.4%,0.6%,$138.00,23,4.5,$0.82,,,14,3.54%,Automotive Parts & Accessories
bronco sport roof rack,野马运动车顶架,"1,951,746",501,"17,456",2.87%,3,0.62%,205,2.4,12,0,34.4%,2.4%,$99.99,56,4.5,$2.43,,,14,2.87%,Automotive Parts & Accessories; Sports & Outdoors
bronco seat covers,野马座套,"918,226","1,467","84,798",1.73%,9,0.63%,"1,303",1.1,27,1,33.7%,0.6%,$209.99,35,4.5,$1.30,,,-355,-19.76%,Automotive Parts & Accessories; Pet Supplies
traxxas bronco,特拉克萨斯野马,"1,037,029","1,218","369,091",0.33%,9,0.82%,186,6.6,29,0,47.4%,0.2%,$519.99,8,4.5,$0.89,-462,-27.50%,-235,-16.22%,Toys & Games; Automotive Parts & Accessories
bronco sport accessories 2022,野马运动配件 2022,"544,965","2,630","848,387",0.31%,9,0.38%,"9,202",0.3,28,0,13.3%,1.9%,$22.95,778,4.8,$0.43,"-4,339",-62.26%,-767,-22.63%,Automotive Parts & Accessories; Cell Phones & Accessories
traxxas trx4 bronco,traxxas trx4 野马,"2,414,344",100,#DIV/0!,0.00%,1,0.93%,245,0.4,8,0,65.4%,0.2%,$519.99,8,4.5,$0.93,-812,-89.04%,0,0.00%,Toys & Games; Automotive Parts & Accessories
bronco keychain,野马钥匙扣,"370,254","3,736","-12,453,333",-0.03%,127,3.40%,"2,706",1.4,32,3,25.7%,6.9%,$11.99,62,4.5,$0.83,759,25.50%,-186,-4.74%,"Automotive Parts & Accessories; Sports & Outdoors; Clothing, Shoes & Jewelry"
cool ford bronco accessories,酷炫的福特野马配件,"837,599","1,708","-183,656",-0.93%,33,1.97%,"2,373",0.7,29,0,15.4%,9.5%,$23.99,164,4.5,$2.27,,,-16,-0.93%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
bronco light bar,野马车灯杆,"1,516,016",681,"-46,966",-1.45%,14,2.19%,"2,043",0.3,19,0,28.6%,0.7%,$139.00,1,2.0,$0.99,,,-21,-2.95%,Automotive Parts & Accessories
bronco door bags,野马门袋,"1,516,014",681,"-46,966",-1.45%,10,1.48%,677,1.0,19,0,42.9%,4.0%,$69.99,8,4.5,$2.79,-88,-11.44%,-10,-1.45%,Automotive Parts & Accessories
2021 ford bronco sport accessories,2021 福特野马运动配件,"1,477,890",704,"-33,684",-2.09%,72,10.27%,"9,491",0.1,20,0,23.3%,,$29.99,17,4.5,,-3,-0.42%,-162,-18.39%,Automotive Parts & Accessories; Cell Phones & Accessories
ford bronco seat covers,福特野马座椅套,"709,066","1,944","-92,133",-2.11%,103,5.31%,"1,151",1.7,27,2,26.7%,0.7%,$209.99,8,4.8,$1.44,,,-42,-2.11%,Automotive Parts & Accessories; Pet Supplies
ford bronco accessories,福特Bronco配件,"36,134","22,055","-911,364",-2.42%,191,0.87%,"4,621",4.8,65,22,8.3%,4.1%,$16.99,147,4.5,$0.69,"8,744",65.69%,-780,-3.34%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Cell Phones & Accessories"
bronco sport accessories,野马运动配件,"98,997","11,200","-455,285",-2.46%,48,0.43%,"17,052",0.7,45,6,16.6%,2.4%,$26.99,186,4.5,$0.66,"2,167",23.99%,-768,-6.27%,Automotive Parts & Accessories; Handmade
bronco door storage,野马门存储,"1,019,554","1,323","-47,419",-2.79%,16,1.26%,"1,090",1.2,29,1,30.9%,4.7%,$29.99,8,4.3,$1.40,337,34.18%,-38,-2.79%,Automotive Parts & Accessories
2023 ford bronco accessories,2023年福特野马的配件,"262,307","4,801","-161,650",-2.97%,28,0.60%,"4,150",1.2,35,0,10.7%,3.9%,$27.99,198,4.5,$1.10,,,-254,-4.88%,Automotive Parts & Accessories
bronco sport key fob cover,野马运动钥匙扣盖,"1,088,755","1,210","-39,803",-3.04%,9,0.82%,621,2.0,28,0,18.1%,3.5%,$12.99,103,4.5,$0.46,565,87.60%,-231,-14.76%,Automotive Parts & Accessories
ford bronco grab handles 2023,福特野马抓手2023,"2,147,689",410,"-12,424",-3.30%,21,5.31%,15,27.3,14,0,31.0%,6.2%,$28.99,36,4.5,$1.79,,,-14,-3.30%,Automotive Parts & Accessories
bronco,野马,"90,902","11,194","-299,305",-3.74%,109,0.98%,"42,470",0.3,45,45,24.9%,2.7%,$23.99,361,4.5,$0.64,"3,311",42.00%,-502,-4.14%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Kindle Store"
ford bronco accessories 2022,福特野马配件 2022,"1,266,463",875,"-21,552",-4.06%,4,0.49%,"6,816",0.1,25,0,13.7%,7.2%,$19.99,317,4.5,$1.44,"-17,447",-95.22%,"-2,303",-57.76%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
bronco 2 door accessories,Bronco 2门配件,"1,336,699",816,"-18,802",-4.34%,6,0.76%,"9,706",0.1,23,1,27.1%,5.4%,$45.99,52,4.5,$2.46,,,-54,-8.19%,Automotive Parts & Accessories
ford bronco sport,福特野马运动,"710,897","1,981","-44,617",-4.44%,89,4.50%,"2,790",0.7,27,28,13.2%,1.7%,$39.99,186,4.5,$0.67,343,20.94%,-108,-5.10%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
