ASIN,SKU,品牌,商品标题,,父体,类目路径,大类目,适配车型年份,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
B081ZGBHPX,Color: Black/Black,Fox Racing,"Fox Racing Mountain Bike Mud Guard, Black/Black",https://images-na.ssl-images-amazon.com/images/I/31ln-1W+8mL._AC_US200_.jpg,B0C4P93FCW,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"7,672","1,639",25%,"Powersports Chain Guards
Wheel & Tire Mud Flaps & Splash Guards","2
5",563,"7,500%","8,416",75%,8.79,9,63%,3.22,583,4.09%,4.60,23,2019-12-06,NA,7,4,4,Amazon,US,"公司名称：Trading Post Outfitters
电话号码：530-710-1884
办公地址：
872 N Market St
Redding
CA
96003
US",NA,Y,Y,,,,Powersports Chain Guards by Fox Racing,0.05 pounds,11.5 x 10.2 x 0 inches,2023-06-01
B0869QMLSW,Color: Black/White,Fox Racing,"Fox Racing Mountain Bike Mud Guard, Black/White",https://images-na.ssl-images-amazon.com/images/I/31RYQkMAxDL._AC_US200_.jpg,B0C4P93FCW,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"7,672","1,639",25%,"Powersports Chain Guards
Wheel & Tire Mud Flaps & Splash Guards","2
5",563,"7,500%","8,416",75%,14.95,9,63%,3.22,583,4.09%,4.60,23,2020-09-01,AMZ,7,4,2,Amazon,US,"公司名称：Trading Post Outfitters
电话号码：530-710-1884
办公地址：
872 N Market St
Redding
CA
96003
US",AMZ,,Y,,,,Wheel & Tire Mud Flaps & Splash Guards by Fox Raci,0.05 pounds,11.5 x 10.2 x 0 inches,2023-06-01
B08J8C466G,Color: 4 Pcs Set Red,A-Premium,A-Premium 4 Pcs Red Universal Splash Guards Mud Flaps Mudflaps Mudguard Fender Flares for Car Pickup Truck SUV with Hardware Front and Rear,https://m.media-amazon.com/images/I/51Kh+iOwsFL._AC_US200_.jpg,B09ZPNHY8B,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"14,563","-1,540",-11%,Wheel & Tire Mud Flaps & Splash Guards,11,506,"-1,800%","16,692",-18%,32.99,47,67%,6.10,"1,635",12.06%,3.90,61,2020-09-15,NA,9,4,3,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",NA,,,,Y,,,1.8 pounds,15.59 x 13.07 x 1.57 inches,2023-05-31
B08J8BYZ1X,Color: 2 Pcs Set Black,A-Premium,A-Premium 2 Pcs Black Universal Splash Guards Mud Flaps Mudflaps Mudguard Fender Flares for Car Pickup Truck SUV with Hardware,https://m.media-amazon.com/images/I/51xwNuyhbCL._AC_US200_.jpg,B09ZPNHY8B,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"14,563","-1,540",-11%,Wheel & Tire Mud Flaps & Splash Guards,11,506,"-1,800%","14,162",-18%,27.99,47,63%,6.10,"1,635",12.06%,3.90,61,2020-09-15,FBA,9,4,2,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",FBA,,,,Y,,,1.1 pounds,15.91 x 12.8 x 1.46 inches,2023-05-31
B08J8BS95V,Color: 2 Pcs Set Red,A-Premium,A-Premium Black Red Universal Splash Guards Mud Flaps Mudflaps Mudguard Fender Flares for Car Pickup Truck SUV with Hardware (2 Pcs Set Red),https://m.media-amazon.com/images/I/51QLStVe99L._AC_US200_.jpg,B09ZPNHY8B,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"14,563","-1,540",-11%,Wheel & Tire Mud Flaps & Splash Guards,11,506,"-1,800%","9,608",-18%,18.99,47,53%,6.10,"1,635",12.06%,3.90,61,2020-09-15,FBM,9,4,2,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",FBM,,,,Y,,,15.2 ounces,15.55 x 13.35 x 1.46 inches,2023-05-31
B08J8CLRNL,Color: 4 Pcs Set Black,A-Premium,A-Premium 4 Pcs Black Universal Splash Guards Mud Flaps Mudflaps Mudguard Fender Flares for Car Pickup Truck SUV with Hardware Front and Rear,https://images-na.ssl-images-amazon.com/images/I/51J6D94b4tL._AC_US200_.jpg,B09ZPNHY8B,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"14,563","-1,540",-11%,Wheel & Tire Mud Flaps & Splash Guards,11,506,"-1,800%","25,294",-18%,49.99,47,72%,6.39,"1,635",12.06%,3.90,61,2020-09-15,FBA,9,4,2,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",FBA,,,,Y,,,2.07 pounds,15.79 x 12.91 x 2.01 inches,2023-05-31
B0BKP8KRRH,Size: For Model 3,Jawjut,"Jawjut Mud Flaps, Compatible with Tesla Model 3,Splash Guard Accessories, No Drilling Required, Black",https://m.media-amazon.com/images/I/41MixBbsWYL._AC_US200_.jpg,B0C646D9FK,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"6,809","2,776",41%,Wheel & Tire Mud Flaps & Splash Guards,4,473,"5,100%","13,239",51%,27.99,5,58%,7.65,135,17.12%,4.50,81,2022-10-26,FBA,10,2,2,XINLIDA,CN,"公司名称：wenzhouxuanboyanjingyouxiangongsi
办公地址：
悦荣府10-1504
温州市
乐清市
浙江省
325600
CN",FBA,,Y,,Y,,Wheel & Tire Mud Flaps & Splash Guards by Jawjut,2.01 pounds,12.64 x 9.72 x 4.96 inches,2023-06-01
B0B8S1FSNP,Size: For Model Y,Jawjut,"Jawjut Mud Flaps, Compatible with Tesla Model Y,Splash Guard Accessories, No Drilling Required, Black",https://images-na.ssl-images-amazon.com/images/I/41IOmkicsYL._AC_US200_.jpg,B0C646D9FK,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"6,809","2,776",41%,Wheel & Tire Mud Flaps & Splash Guards,4,473,"5,100%","14,185",51%,29.99,5,59%,7.65,135,17.12%,4.50,81,2022-08-04,FBA,10,2,1,XINLIDA,CN,"公司名称：wenzhouxuanboyanjingyouxiangongsi
办公地址：
悦荣府10-1504
温州市
乐清市
浙江省
325600
CN",FBA,,Y,,Y,,Wheel & Tire Mud Flaps & Splash Guards by Jawjut,2.64 pounds,12.52 x 9.84 x 5 inches,2023-06-01
B08L4893Q8,Style: For Tundra Sequoia 2007-2020,A-Premium,A-Premium Splash Guards Fender Liner Shields Compatible with Toyota Tundra Sequoia 2007-2020 Front and Rear 4-PC Set,https://images-na.ssl-images-amazon.com/images/I/412dLH5j0KL._AC_US200_.jpg,B08W8Y7HD7,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"12,312","-2,476",-20%,Wheel & Tire Mud Flaps & Splash Guards,10,459,"-1,400%","15,142",-14%,32.99,4,63%,7.33,913,3.27%,4.30,15,2020-10-10,FBA,10,4,2,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",FBA,,Y,,Y,,Wheel & Tire Mud Flaps & Splash Guards by A-Premiu,1.06 pounds,15.67 x 12.91 x 2.24 inches,2023-06-01
B08L48S16J,Style: For Tacoma 2005-2020,A-Premium,A-Premium Splash Guards Fender Liner Shields Compatible with Toyota Tacoma 2005-2020 Front and Rear 4-PC Set,https://m.media-amazon.com/images/I/41WuaCqzQKL._AC_US200_.jpg,B08W8Y7HD7,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"12,312","-2,476",-20%,Wheel & Tire Mud Flaps & Splash Guards,10,459,"-1,400%","16,519",-14%,35.99,4,67%,6.39,913,3.27%,4.30,15,2020-10-11,FBA,9,4,7,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",FBA,,Y,,Y,,Wheel & Tire Mud Flaps & Splash Guards by A-Premiu,1.06 pounds,15.63 x 12.99 x 2.01 inches,2023-06-01
B08MBNDNSM,Style: For 4Runner Land Cruiser Prado 2003-2009 120/150 Series,A-Premium,A-Premium Splash Guards Fender Liner Shields Compatible with Toyota 4Runner 2003-2009 FJ Cruiser 2007-2014 Land Cruiser Prado 2003-2019 Front Wheel Set of 4,https://m.media-amazon.com/images/I/41OhEMOb03L._AC_US200_.jpg,B08W8Y7HD7,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"12,312","-2,476",-20%,Wheel & Tire Mud Flaps & Splash Guards,10,459,"-1,400%","13,765",-14%,29.99,4,64%,6.39,913,3.27%,4.30,15,2020-10-30,FBA,10,4,2,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",FBA,,Y,,Y,,Wheel & Tire Mud Flaps & Splash Guards by A-Premiu,14 ounces,15.94 x 13.43 x 1.69 inches,2023-06-01
B08PP8T1LL,Style: For Land Cruiser 2007-2020 LX570 2008-2020,A-Premium,A-Premium Splash Guards Fender Liner Shields Compatible with Toyota Land Cruiser J200 2007-2020 Lexus LX570 2008-2020 Front and Rear 4-PC Set,https://m.media-amazon.com/images/I/41PmWa7g9oS._AC_US200_.jpg,B08W8Y7HD7,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"12,312","-2,476",-20%,Wheel & Tire Mud Flaps & Splash Guards,10,459,"-1,400%","12,250",-14%,26.69,4,54%,8.29,913,3.27%,4.30,15,2020-12-02,FBA,10,4,2,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",FBA,,,,Y,,,1.83 pounds,14.33 x 11.46 x 5.35 inches,2023-06-01
B0737Z1HYK,Style: Tacoma 2005-2015,A-Premium,"A-Premium Set of 4PCS Mud Flaps Splash Guards Mudguards Mudflaps with Hardware Kits Compatible with Toyota Tacoma 2005-2015 Pickup, (with Fender Flares), Front and Rear (Driver &amp; Passenger Sides)",https://m.media-amazon.com/images/I/41mkM2Luf6L._AC_US200_.jpg,B07PLHJ6JW,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"10,867",135,1%,Wheel & Tire Mud Flaps & Splash Guards,7,453,"3,800%","22,645",38%,49.99,69,58%,13.51,"2,058",5.96%,4.50,27,2017-06-24,FBA,10,2,3,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",FBA,,Y,,Y,,Wheel & Tire Mud Flaps & Splash Guards by A-Premiu,5.09 pounds,18.4 x 12.1 x 5.7 inches,2023-06-01
B077X1BYJC,Style: Tacoma 2016-2023,A-Premium,"A-Premium Mud Flaps Splash Guards Mudguards Mudflaps [W/Hardware Accessories] Compatible with Toyota Tacoma 2023-2016, [Doesn't Fit SR], Set of 4PCS, Front and Rear (Driver &amp; Passenger Sides)",https://images-na.ssl-images-amazon.com/images/I/41Imv+mK6cL._AC_US200_.jpg,B07PLHJ6JW,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"10,867",135,1%,Wheel & Tire Mud Flaps & Splash Guards,7,453,"3,800%","25,363",38%,55.99,69,68%,9.25,"2,058",5.96%,4.50,27,2017-09-23,FBA,9,2,3,PremiumpartsWhosale,CN(HK),"公司名称：Century Huateng Network Overseas Co.,Ltd
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HK
999077
HK",FBA,,Y,,Y,,Wheel & Tire Mud Flaps & Splash Guards by A-Premiu,3.87 pounds,17.72 x 11.73 x 6.3 inches,2023-06-01
B01MYCWRYH,Size: Rear Wheel Well Guards | Color: Black | Style: Fits All,Husky Liners,Husky Liners Wheel Well Guards | Rear Wheel Well Guards - Black | 79131 | Fits 2017-2022 Ford F-250/F-350 Super Duty 2 Pcs,https://m.media-amazon.com/images/I/31hjukQE8ZL._AC_US200_.jpg,B07J2LTLHV,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"11,339","2,133",19%,Wheel & Tire Mud Flaps & Splash Guards,10,442,-100%,"38,312",-1%,86.68,73,12%,63.57,"1,774",3.39%,4.50,15,2017-01-28,AMZ,9,2,15,Amazon,,,AMZ,,Y,,Y,,Wheel & Tire Mud Flaps & Splash Guards by Husky Li,7 pounds,40 x 25 x 14.2 inches,2023-06-01
B01N2SD5V2,Size: Custom Front and Rear Mud Guard Set | Color: Mud Guards - Set | Style: WITHOUT Fende,Husky Liners,"Husky Liners - Front &amp; Rear Mud Guards | 2017 - 2022 Ford F-250/F-350 w/ Single Rear Wheels &amp; w/o OEM Fender Flares, Front &amp; Rear Set - Black, 4 Pc | 58466",https://images-na.ssl-images-amazon.com/images/I/416+2fxkBWL._AC_US200_.jpg,B07J2LTLHV,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"11,339","2,133",19%,Wheel & Tire Mud Flaps & Splash Guards,9,439,"-2,000%","32,780",-20%,74.67,73,64%,15.61,"1,774",3.42%,4.50,15,2016-12-09,AMZ,9,2,8,Amazon,US,"公司名称：Revolution Performance Motorsports, LLC",AMZ,,,,Y,,,4.5 pounds,,2023-06-01
B0BN18B5TH,,Mabett,Mabett Mud Flaps for Ford Bronco Accessories 2021 2022 2023 2/4-Door No Punching Required Front and Rear (No Logo),https://m.media-amazon.com/images/I/41Ig7oBRH6L._AC_US200_.jpg,B0BN18B5TH,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"58,392","-6,627",-42%,Wheel & Tire Mud Flaps & Splash Guards,70,390,"-2,900%","54,596",-29%,139.99,32,75%,14.35,10,0.77%,4.60,3,2022-11-20,FBA,9,1,1,MABETT,CN,"公司名称：lixueqi
办公地址：
玉沙路5号
国贸中心5楼B1-14
海口市
龙华区
海南省
570100
CN",FBA,,,,Y,,,11.88 pounds,21.26 x 11.42 x 5.31 inches,2023-06-01
B0BJV2SMPX,Size: Mudguard for Front Bumper | Color: For SAS package,Mabett,"Mabett Splash Guards Between Front Bumper and Fender Flares for Bronco Accessories 2021 2022 2023 Fit Heavy-Duty Modular Bumper, Mud Flaps Mudguard fit Ford Bronco 4-Door (with Sasquatch Package)",https://m.media-amazon.com/images/I/41xBADnao2L._AC_US200_.jpg,B0C6KQJ3WG,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"19,090","-3,202",-17%,Wheel & Tire Mud Flaps & Splash Guards,14,386,500%,"23,156",5%,59.99,38,73%,7.33,222,3.63%,3.90,14,2022-10-20,FBA,9,4,1,MABETT,CN,"公司名称：lixueqi
办公地址：
玉沙路5号
国贸中心5楼B1-14
海口市
龙华区
海南省
570100
CN",FBA,,,,Y,,,14.4 ounces,12.01 x 7.68 x 4.96 inches,2023-06-01
B0BJTZ1Z27,Size: Mudguard for Front Bumper | Color: No SAS package,Mabett,"Mabett Splash Guards Between Front Bumper and Fender Flares for Bronco Accessories 2021 2022 2023 Fit Heavy-Duty Modular Bumper, Mud Flaps Mudguard fit Ford Bronco 4-Door (No Sasquatch Package)",https://m.media-amazon.com/images/I/41GOVCwZlDL._AC_US200_.jpg,B0C6KQJ3WG,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"19,090","-3,202",-17%,Wheel & Tire Mud Flaps & Splash Guards,14,386,500%,"23,156",5%,59.99,38,73%,7.33,222,3.63%,3.90,14,2022-10-19,FBA,9,4,1,MABETT,CN,"公司名称：lixueqi
办公地址：
玉沙路5号
国贸中心5楼B1-14
海口市
龙华区
海南省
570100
CN",FBA,,,,Y,,,14 ounces,11.97 x 7.72 x 5.04 inches,2023-06-01
B0B42BK4J2,Size: Tire Mudflaps | Color: 2pcs,Mabett,Mabett Mud Flaps for Ford Bronco Accessories 2021 2022 2023 4-Door No Punching Required Front Only 2PCS,https://m.media-amazon.com/images/I/51M3K1H2u2L._AC_US200_.jpg,B0C6KQJ3WG,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"19,090","-3,202",-17%,Wheel & Tire Mud Flaps & Splash Guards,14,386,500%,"34,736",5%,89.99,38,72%,11.41,222,3.63%,3.90,14,2022-06-13,FBA,8,4,1,MABETT,CN,"公司名称：lixueqi
办公地址：
玉沙路5号
国贸中心5楼B1-14
海口市
龙华区
海南省
570100
CN",FBA,,,Y,Y,,,4.59 pounds,18.5 x 11.65 x 3.1 inches,2023-06-01
B0B429KFYQ,Size: Tire Mudflaps | Color: 4pcs,Mabett,Mabett Mud Flaps for Ford Bronco Accessories 2021 2022 2023 2/4-Door No Punching Required Front and Rear 4PCS,https://images-na.ssl-images-amazon.com/images/I/515b0zuJ3VL._AC_US200_.jpg,B0C6KQJ3WG,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"19,090","-3,202",-17%,Wheel & Tire Mud Flaps & Splash Guards,14,383,"-1,800%","53,616",-18%,139.99,38,75%,14.35,222,3.66%,3.90,14,2022-06-14,FBA,9,4,1,MABETT,CN,"公司名称：lixueqi
办公地址：
玉沙路5号
国贸中心5楼B1-14
海口市
龙华区
海南省
570100
CN",FBA,,,Y,Y,,,11.62 pounds,21.5 x 11.75 x 6 inches,2023-06-01
B0BK62V5SV,Size: Model 3,DEDC,DEDC Tesla Model 3 Mud Flaps Splash Guards Accessories 2023/2022/2021/2020/2019(4PCS)[No Drilling][Including Armrest Cover/Webcam Cover/Cup Holder/Anti-Collision Car Door Stickers],https://m.media-amazon.com/images/I/41VQ3-BrtLL._AC_US200_.jpg,B0BM9HLF2Z,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"26,013","-10,813",-42%,Wheel & Tire Mud Flaps & Splash Guards,14,365,-900%,"12,723",-9%,34.86,10,61%,8.29,117,6.03%,4.00,22,2022-10-22,FBA,9,2,1,teeyu,CN,"公司名称：Shanghai Teyu Dianzi Keji Youxian Gongsi
办公地址：
韶山路419弄18号101室
上海市
宝山区
上海市
201907
CN",FBA,,Y,Y,Y,,Wheel & Tire Mud Flaps & Splash Guards by DEDC,1.88 pounds,16.97 x 10.51 x 4.84 inches,2023-06-01
