主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B0B24VZSJJ,Color: For Chevrolet Silverado 1500 19-23,CLIM ART,"CLIM ART Windshield Sun Shade for Chevrolet (Chevy) Silverado 1500 2019-2023, Custom-Fit Foldable Car Sun Shade, Car Sunshade, Vehicle Sun Protector,Front Auto Windshield Cover,Car Windshield - WS3003",https://images-na.ssl-images-amazon.com/images/I/51Zdc-VFwPL._AC_US200_.jpg,B0C695J59M,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"4,045",-3,0%,Automotive Windshield Sunshades,124,949,"7,700%","37,950",77%,39.99,9,71%,5.69,113,3.27%,4.30,31,2022-05-23,FBA,10,71,1,GrandWheel,US,"公司名称：GrandWheel, Inc
办公地址：
3651 Lindell Road Ste. D1119
Las Vegas
NV
89103-1200
US",FBA,,Y,,Y,,Automotive Windshield Sunshades by CLIM ART,1.68 pounds,14 x 13.5 x 1 inches,2023-07-04
,B06XTB9HFF,,SWITCHDOCTOR,"SWITCHDOCTOR Window Master Switch for 2007-2013 Chevrolet Silverado 1500 2500 3500 and GMC Sierra 1500 2500 3500, 2009-2017 Traverse",https://images-na.ssl-images-amazon.com/images/I/41-hLICTX9L._AC_US200_.jpg,B06XTB9HFF,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Interior Switches:Power Window,Automotive,"4,879",-78,-2%,Automotive Power Window Switches,4,894,-400%,"13,410",-4%,15.00,24,58%,4.08,"7,142",5.82%,4.80,52,2017-03-22,FBA,9,1,2,Switch Doctor,US,"公司名称：SWITCH DOCTOR
电话号码：678-389-6725
办公地址：
5348 Vegas Dr
LAS VEGAS
NV
89108
US",FBA,,Y,,Y,,Automotive Power Window Switches by SWITCHDOCTOR,4.7 ounces,4.84 x 2.83 x 2.24 inches,2023-07-05
,B0BLHCPZ94,Model: Black Black with red,REPROTECTING,REPROTECTING Silicone Rubber Key Fob Cover Compatible with 2022 2023 Chevrolet Silverado 1500 GMC Sierra 1500 (Black Black with red),https://images-na.ssl-images-amazon.com/images/I/413udmlZSsL._AC_US200_.jpg,B0BLHCSJFJ,Automotive:Interior Accessories:Key Shells,Automotive,"5,586","1,120",21%,Key Shells,23,857,600%,"9,418",6%,10.99,,56%,3.22,232,4.43%,4.80,38,2022-11-03,FBA,7,11,1,REPROTECTING,CN,公司名称：WANG YAOQIANG,FBA,,Y,,,,Key Shells by REPROTECTING,1.62 ounces,3.1 x 2 x 0.6 inches,2023-07-04
,B07DRC4LVG,Size: Rear Driver Side,YHTAUTO,Rear Left Driver Side Power Window Regulator with Motor for Chevrolet Silverado 1500 3500 2001-2006 GMC Sierra 1500 2500 HD 3500,https://images-na.ssl-images-amazon.com/images/I/41Qpk9h3LlL._AC_US200_.jpg,B07KJGG99F,Automotive:Replacement Parts:Window Regulators & Motors:Window Regulator & Motor Assemblies,Automotive,"4,927","1,202",24%,Automotive Replacement Window Regulator & Motor Assemblies,2,805,"1,000%","40,129",10%,49.85,23,57%,13.93,"1,739",3.48%,4.60,28,2018-06-13,FBA,9,2,1,YTAUTOPARTS,CN,"公司名称：Xiamen Zanyu Information Technology Co., Ltd",FBA,Y,Y,,Y,,Automotive Replacement Window Regulator & Motor As,6.64 pounds,26.8 x 14.3 x 4 inches,2023-07-04
,B07TM169WF,,Fit System,"K-Source 80930 Snap &amp; Zap Custom Fit Towing Mirror for Chevrolet Silverado 1500/GMC Sierra 1500 (2019+), Pair",https://images-na.ssl-images-amazon.com/images/I/41wNTNSKUBL._AC_US200_.jpg,B07TM169WF,Automotive:Exterior Accessories:Towing Products & Winches:Hitch Accessories:Towing Mirrors,Automotive,"6,018","-1,410",-23%,Towing Hitch Towing Mirrors,3,797,600%,"52,243",6%,65.55,111,63%,14.35,"2,247",5.14%,4.40,41,2019-06-27,FBM,7,1,28,4Wheel Online,US,"公司名称：Web River Group, Inc dba 4Wheelonline
办公地址：
5911 Benjamin Center Dr
Tampa
FL
33634
US",FBM,,Y,,,,Towing Hitch Towing Mirrors by Fit System,3 pounds,8.5 x 6 x 3.5 inches,2023-07-04
,B093CRBVMB,Size: Windshield Sunshade - Regular/Crew/Double Cab,Galaxy Auto Shield,"Custom Fit Windshield Sun Shade for 2019 2020 2021 2022 2023 Chevrolet Silverado 1500 2500 3500, 2Dr 4Dr, Insulated Window Sunshade Privacy Accessories Blockout UV Reflector Protection - Made in USA",https://images-na.ssl-images-amazon.com/images/I/41FWDZxHekL._AC_US200_.jpg,B09WF83LYW,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"5,237","3,099",62%,Automotive Windshield Sunshades,148,788,"5,700%","29,148",57%,36.99,15,56%,10.57,349,2.16%,4.60,17,2021-04-22,FBA,7,5,2,GalaxyAutoShield,US,"公司名称：LUMINOUS AUTO GROUP LLC
办公地址：
14417 Stonebridge View Drive
Gaithersburg
MD
20877
US",FBA,,,,,,,14.4 ounces,31 x 4 x 3.25 inches,2023-07-04
,B07R5PNKNX,Color: black,Yiz,"Dashboard Cover Dash Mat Fit for 2007-2014 Chevy Chevrolet Tahoe Suburban,2007-13 Chevy Avalanche Silverado 1500 2500 3500 LTZ /2007-13 GMC Sierra SLT Denali,2007-14 GMC Yukon XL (Black) Y24",https://images-na.ssl-images-amazon.com/images/I/41ab2pE4TaL._AC_US200_.jpg,B07RB28QHR,Automotive:Interior Accessories:Covers:Dash Covers,Automotive,"6,247",-487,-8%,Interior Dash Covers,6,787,"2,200%","26,600",22%,33.80,10,63%,7.33,"1,094",3.68%,4.30,29,2019-04-27,FBA,8,3,1,yizhouauto,CN,"公司名称：linyiyizhouguojimaoyiyouxiangongsi
办公地址：
通达路与解放路交汇处银座中心D座2单元1008室
临沂
兰山
山东
276000
CN",FBA,,,,,,,1.06 pounds,16.89 x 11.5 x 2.28 inches,2023-07-04
,B082VQ7MV1,Size: 22+22,ANRDDO,2 Wipers Factory Replacement For 2014-2018 Chevrolet Silverado GMC Sierra Original Equipment Windshield Wiper Blades Set - 22&quot;+22&quot; Top Lock (Set of 2) Not for J HOOK,https://images-na.ssl-images-amazon.com/images/I/41qkvmgbaJL._AC_US200_.jpg,B0C89CKL4F,Automotive:Replacement Parts:Windshield Wipers & Washers:Wipers:Blades,Automotive,"10,952","-2,078",-20%,Automotive Replacement Windshield Wiper Blades,102,773,"-4,300%","19,317",-43%,24.99,7,62%,5.69,"1,451",0.00%,4.50,0,2018-03-29,FBA,9,3,1,ANRDDO,CN,"公司名称：Duchang county kangda auto parts co. LTD.
办公地址：
芙蓉山工业园新妙湖大道71号
九江市
都昌县
江西省
332600
CN",FBA,,Y,,Y,,Automotive Replacement Windshield Wiper Blades by,14.4 ounces,22 x 1 x 1 inches,2023-07-03
,B09MW2XB6B,,MechanMagic,Key Fob Replacement Keyless Entry Remote Start Fits for GMC Sierra Chevrolet Silverado 1500 2500 3500 2014 2015 2016 2017 2018 2019 2020 GMC Canyon Chevy Colorado 2015-2021 M3N32337100 Chrome set of 1,https://images-na.ssl-images-amazon.com/images/I/41s7uN0VW+L._AC_US200_.jpg,B09MW2XB6B,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"5,418","1,332",25%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","21
1220",736,"2,300%","13,211",23%,17.95,19,66%,3.33,408,4.62%,4.30,34,2021-12-01,FBA,8,1,1,TotalKeylessRemote,CN,公司名称：shen zhen shi mai kai mai ji ke ji you xian gongsi,FBA,,Y,,,,gm 4 button key fob shell,0.07 pounds,4.8 x 4.21 x 0.63 inches,2023-07-04
,B07PCPSTBG,Color: Dark Grey,SCITOO,SCITOO Auto Dark Grey Center Console Lid Kit Replacement fit for 2001-2007 for GMC Sierra for Chevrolet Silverado,https://images-na.ssl-images-amazon.com/images/I/41RjdPpwY6L._AC_US200_.jpg,B07P8KCQRD,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"5,586","6,898",123%,Automotive Center Consoles,36,696,-500%,"25,042",-5%,35.98,9,53%,11.41,"1,911",43.97%,4.70,306,2019-03-03,FBA,10,4,2,Scitoo Auto,CN,"公司名称：SHENZHEN SHITUQICHEPEIJIANYOUXIANGONGSI
办公地址：
大浪办事处高峰社区部九窝向荣路8号-1栋三楼303
深圳市
龙华区
广东
518000
CN",FBA,,Y,,,,Automotive Center Consoles by SCITOO,3.29 pounds,18.7 x 12.2 x 2.8 inches,2023-07-04
,B001A0F88I,Size: Pack of 1 Pair - Classic,Bull Ring,"Bull Ring Classic Raised Fit Retractable Tie Down Anchors for '98-14 Ford F150, 98-16 Ford Super Duty, 88-13 Chevrolet Silverado and GMC Sierra, 95-08 Dodge RAM (1 Pair)",https://images-na.ssl-images-amazon.com/images/I/41ukDeuCleS._AC_US200_.jpg,B097XJYHCQ,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tie Downs & Anchors,Automotive,"8,438","1,188",21%,Truck Tie Downs & Anchors,18,662,-200%,"16,543",-2%,24.99,623,66%,4.75,"2,359",2.57%,4.70,17,2014-11-09,FBA,9,5,3,Bull Ring Direct,US,"公司名称：Bestop BullRing LLC
电话号码：951-894-5104
办公地址：
43352 Business Park Dr
TEMECULA
CA
92590
US",FBA,,Y,,Y,,truck bed hooks,0.01 Ounces,7 x 5.2 x 2.2 inches,2023-07-04
,B0B39658NR,,JCCGLOBAL,"Engine Oil Pressure Sensor/switch/sending unit with screen filter D1846A Compatible with Chevrolet Chevy Silverado GMC sierra Buick lacrosse Cadillac Escalade 2003-2008 4.8L/5.3L/6.0L/6.2L,",https://images-na.ssl-images-amazon.com/images/I/41co6ocKH3L._AC_US200_.jpg,B0B39658NR,Automotive:Replacement Parts:Sensors:Transmission Oil Pressure,Automotive,"10,726",-841,-8%,Automotive Replacement Transmission Oil Pressure Sensors,2,644,-300%,"14,013",-3%,21.76,,67%,3.86,256,4.35%,4.40,28,2022-06-05,FBA,9,1,1,JCCGLOBAL,CN,公司名称：ruianshizhiqingdianzishangwushanghang,FBA,,Y,Y,Y,,Automotive Replacement Transmission Oil Pressure S,1.13 ounces,1 x 1 x 0.5 inches,2023-07-04
,B09CDF1Z3J,Size: Driver Side (Left),Yikesai,"Driver Side Heated Mirror Glass Replacement for 2003-2007 Cadillac Escalade, Chevrolet Avalanche, Silverado, Suburban, Tahoe, GMC Sierra, Yukon - Exterior Side View Convex Mirror with Turn Signal",https://images-na.ssl-images-amazon.com/images/I/31qFbXZTxVL._AC_US200_.jpg,B09Z2FXRBY,Automotive:Replacement Parts:Body & Trim:Body:Mirrors & Parts:Exterior Mirror Replacement Glass,Automotive,"6,383",-819,-13%,Automotive Exterior Mirror Replacement Glass,1,639,600%,"15,329",6%,23.99,5,65%,4.75,267,8.92%,4.00,57,2021-08-10,FBA,10,3,1,Yikesai,CN,"公司名称：Guangzhoushi Yikesaimaoyi Youxiangongsi
办公地址：
天河路518号1929房A86
广州市
天河区
广东省
510800
CN",FBA,Y,,,Y,,,12.3 ounces,11.18 x 7.32 x 1.14 inches,2023-07-04
,B08Y8X1P6K,Color: 5 PCS Full Set / Black,YIERTAI,YIERTAI for Chevy Chevrolet Silverado GMC Sierra Car Seat Covers Fit 2007-2023 1500/2500/3500HD Truck Waterproof Leather Crew Double Extended Cab Cushion Covers(5 PCS Full Set/Black),https://images-na.ssl-images-amazon.com/images/I/51vjPUKQwqL._AC_US200_.jpg,B08Y928DZT,Automotive:Interior Accessories:Seat Covers & Accessories:Seat Covers,Automotive,"10,182","-2,988",-29%,Automotive Seat Covers,100,639,"1,700%","127,793",17%,199.99,121,75%,19.39,995,5.48%,4.50,35,2021-03-09,FBA,9,8,1,chengpaicp,CN,"公司名称：taizhouchengpaimaoyiyouxiangongsi
办公地址：
洪家街道城市港湾B1幢2单元803室
台州市
椒江区
浙江省
318015
CN",FBA,,Y,,Y,,Automotive Seat Covers by YIERTAI,15.6 pounds,26 x 21 x 6 inches,2023-07-05
,B0B6PPFJB9,,A-Premium,A-Premium High Heat Spark Plug Ignition Wires Set of 8 Compatible with Chevrolet Chevy GMC Silverado Suburban Sierra Tahoe Yukon V8 Engine Replace# 48322R,https://images-na.ssl-images-amazon.com/images/I/41iGNtjHvYL._AC_US200_.jpg,B0B6PPFJB9,Automotive:Replacement Parts:Ignition Parts:Spark Plugs & Wires:Wires:Wire Sets,Automotive,"7,554",-763,-10%,Automotive Replacement Spark Plug Wire Sets,4,633,600%,"15,818",6%,24.99,,59%,6.39,190,5.06%,4.30,32,2022-06-04,FBA,10,1,2,PremiumpartsWhosale,CN(HK),"公司名称：CENTURY HUATENG NETWORK OVERSEAS LIMITED
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HongKong
999077
HK",FBA,Y,,Y,Y,,,1.72 pounds,14.48 x 11.1 x 2.44 inches,2023-07-04
,B08JHKPR44,Size: black | Color: 1999-2006 Chevy and GMC,SPEEDWOW,SPEEDWOW Dashboard Dash Board Cover Mat Carpet Compatible with 1999-2006 Chevrolet Silverado Avalanche Tahoe Suburban GMC Pickup Yukon,https://images-na.ssl-images-amazon.com/images/I/514PB3FmjbL._AC_US200_.jpg,B08M9TM6YQ,Automotive:Interior Accessories:Covers:Dash Covers,Automotive,"10,872","-4,211",-39%,Interior Dash Covers,18,607,"2,400%","15,775",24%,25.99,114,46%,10.15,"3,415",3.62%,4.10,22,2020-09-18,FBA,9,11,1,JYMYAutoparts,CN,"公司名称：Lijuan Zou
办公地址：
柳一村五区28栋1单元305室
义乌市
北苑街道
浙江省
322000
CN",FBA,,,,Y,,,1.3 pounds,39.4 x 39.4 x 19.7 inches,2023-07-04
,B09KLBFTRF,,ROVIKE,"Gas Cap, Fuel Cap For 2004-2011 Chevrolet Chevy Silverado 1500 2500 3500 Avalanche Suburban Tahoe Traverse &amp; GMC Acadia Sierra Yukon &amp; Buick Enclave &amp; Cadillac Enclave &amp; Saturn Outlook, GT330,20915842",https://images-na.ssl-images-amazon.com/images/I/41-aMyNTw6L._AC_US200_.jpg,B09KLBFTRF,Automotive:Replacement Parts:Caps:Fuel Tank Caps,Automotive,"13,619","-5,831",-43%,Automotive Replacement Fuel Tank Caps,33,600,"-1,100%","9,522",-11%,15.87,,59%,4.08,399,4.83%,4.30,29,2021-10-27,FBA,8,1,1,ROVIKE,CN,"公司名称：Wenzhou Maiji Electronic Commerce Co., Ltd
办公地址：
龙湾区永中街道永中西路288号万华锦园4幢902室
温州市
浙江
325024
CN",FBA,,,,,,,2.89 ounces,4.41 x 3.94 x 2.4 inches,2023-07-04
,B08XMJDZS9,Size: Sunshade for 2014-2019 Silverado,KUST,KUST Custom Fit Windshield Sun Shade for 2014-2019 Chevrolet/Chevy Silverado Crewcab Regularcab Extendedcab Sunshade Foldable Sun Visor Protector Blocks UV Rays Keep Your Car Cooler,https://images-na.ssl-images-amazon.com/images/I/41+2WyNinML._AC_US200_.jpg,B0BNLCFD3S,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"5,730","6,238",91%,Automotive Windshield Sunshades,164,594,"3,200%","14,778",32%,24.88,,59%,6.39,333,3.37%,4.50,20,2021-02-25,FBA,9,4,1,KUST JAPAN,JP,"公司名称：CAPAS Co., Ltd.",FBA,,Y,,Y,,Automotive Windshield Sunshades by KUST,12 ounces,12.95 x 11.89 x 2.36 inches,2023-07-04
,B07JDRP2Q6,Style: In-Channel - Smoke,Auto Ventshade,"Auto Ventshade [AVS] In-Channel Ventvisor | 2019 - 2023 Chevrolet/GMC Silverado/Sierra 1500 Crew Cab, 2020 - 2023 Silverado/Sierra 2500 HD/3500 HD Crew - Smoke, 4 pc. | 194805",https://images-na.ssl-images-amazon.com/images/I/41UsSEyVPfL._AC_US200_.jpg,B087Z7SYTQ,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"10,699","-1,641",-15%,Side Window Wind Deflectors & Visors,25,584,-800%,"33,866",-8%,57.99,41,62%,13.09,"2,103",4.62%,3.50,27,2018-10-12,AMZ,9,4,6,Amazon,US,公司名称：TAP Worldwide LLC,AMZ,,,,Y,,,1.06 pounds,46.9 x 11.9 x 1.9 inches,2023-07-04
,B0BC8FX6NM,Style: 2019-2023 w/ Rear Under Seat Storage Box,YITAMOTOR,"YITAMOTOR Floor Mats Compatible for 2019-2023 Chevrolet Silverado 1500/GMC Sierra 1500 &amp; 2020-2023 Chevy Silverado/GMC Sierra 2500HD/3500HD Crew Cab with Rear Underseat Storage Box, Front Bucket Seat",https://images-na.ssl-images-amazon.com/images/I/51tI7scnM7L._AC_US200_.jpg,B0BN17ZKSC,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Floor Mats,Automotive,"6,023",-623,-10%,Automotive Floor Mats,57,578,600%,"55,482",6%,95.99,17,63%,21.49,379,5.71%,4.60,33,2022-08-16,AMZ,10,3,1,Amazon,US,"公司名称：YITA LLC
电话号码：1-888-717-8084
办公地址：
4120 164th ave se
BELLEVUE
WA
98006
US",AMZ,,Y,,Y,,Automotive Floor Mats by YITAMOTOR,9 pounds,27 x 23 x 6 inches,2023-07-05
,B001EOV3B6,Style: Hitch,CURT,"CURT 13322 Class 3 Trailer Hitch, 2-Inch Receiver, Round Tube Frame, Compatible with Select Chevrolet Silverado, GMC Sierra 1500, 2500 , Black",https://images-na.ssl-images-amazon.com/images/I/31B5+2qOruL._AC_US200_.jpg,B0BYN42ZTK,Automotive:Exterior Accessories:Towing Products & Winches:Hitches:Receivers,Automotive,"12,050",-818,-7%,Towing Hitch Receivers,32,575,-200%,"92,586",-2%,161.02,105,71%,22.33,"1,159",4.17%,4.70,24,2008-08-21,AMZ,10,2,7,Amazon,US,"公司名称：Toys for Trucks Inc
电话号码：920-364-9505
办公地址：
3005 N Marshall Rd
APPLETON
WI
54911-8757
US",AMZ,,Y,,Y,,Towing Hitch Receivers by CURT,37 pounds,27 x 43 x 8 inches,2023-07-04
